id,cau_hoi,A,B,C,D,dap_an,giai_thich
11,She intended to quit her job to stay ............... home and look ............... her sick mother.,in / at,at / after,for / over,up / on,B,"intend to do st: có ý định làm gì; stay at home: ở nhà; look after: chăm sóc ai. Tạm dịch: Cô ấy định bỏ việc để ở nhà chăm sóc mẹ bị ốm."
12,He is very worried ............... his new job because he is not quite prepared ............... working.,on / over,to / off,about / for,in / at,C,"to be worried about st: lo lắng về cái gì; prepare for: chuẩn bị cho cái gì. Tạm dịch: Anh ấy rất lo lắng về công việc của mình bởi vì anh ấy chưa chuẩn bị cho nó."
13,Instead ............... petrol cars will only run ............... solar energy and electricity.,of / on,for / by,in / over,from / upon,A,instead of st: thay vì cái gì; run on st: chạy bằng cái gì. Tạm dịch: Thay vì bằng xăng ô tô sẽ chỉ chạy bằng năng lượng mặt trời và bằng điện.
14,She has a promising future ahead ............... her.,for,from,on,of,D,ahead of: trước. Tạm dịch: Cô ấy có một tương lai đầy hứa hẹn ở phía trước.
15,If you have ever watched television you have seen plenty ............... drug advertisements.,with,of,for,about,B,plenty of: nhiều cái gì. Tạm dịch: Nếu bạn đã từng xem ti vi bạn đã thấy nhiều quảng cáo thuốc.
16,"According ............... Bill, there's something wrong ............... my computer.",after / for,on / about,to / with,upon / at,C,According to: theo như; wrong with: có vấn đề với. Tạm dịch: Theo như Bill có vấn đề gì đó với cái máy tính của tôi.
17,I'm terrified ............... breaking down on a motorway at night.,from,with,for,of,D,to be terrified of: sợ cái gì; break down: hỏng hóc. Tạm dịch: Tôi sợ bị hỏng xe trên cao tốc vào ban đêm.
18,"As an adult, I am independent ............... my parents financially.",of,with,out,on,A,"to be independent of: độc lập, tự chủ. Tạm dịch: Là người lớn, tôi độc lập tài chính với bố mẹ."
19,"Today, women are increasingly involved ............... the politics.",of,in,with,from,B,to be involved in: tham gia vào. Tạm dịch: Ngày nay phụ nữ tham gia ngày càng nhiều vào chính trị.
20,Do you have any objections ............... this new road scheme?,at,with,to,for,C,object/objection to st: phản đối làm gì. Tạm dịch: Bạn có phản đối gì với dự án con đường mới này không?
21,As I was ............... of the change in the program I arrived half an hour late for the rehearsal.,unaware,unconscious,unable,unreasonable,A,to be (un)aware of: ý thức/không ý thức về điều gì. Tạm dịch: Vì tôi không biết về sự thay đổi của chương trình nên tôi đã đến muộn.
22,May I introduce you ............... Mrs Brown?,with,for,to,of,C,introduce sb to sb: giới thiệu ai với ai. Tạm dịch: Xin phép giới thiệu bạn với bà Brown nhé!
23,She likes reading books ............... the library.,in,at,on,from,A,in the library: trong thư viện. Tạm dịch: Cô ấy thích đọc sách trong thư viện.
24,Many students aren't keen ............... their study at school.,about,for,with,on,D,to be keen on st: thích cái gì. Tạm dịch: Nhiều học sinh không thích thú với việc học tập ở trường.
25,Please write your answers ............... ink.,in,with,of,by,A,in ink: bằng bút mực. Tạm dịch: Hãy viết câu trả lời của bạn bằng bút mực.
26,Bread is usually made ............... wheat.,from,of,with,by,A,"be made from: làm từ cái gì (Chất liệu thay đổi trạng thái). Tạm dịch: Bánh mì được làm từ bột mì."
27,Education in many countries is compulsory ............... the age of 16.,for,when,until,forwards,C,"until the age of: đến bao nhiêu tuổi. Tạm dịch: Ở nhiều quốc gia, giáo dục là bắt buộc cho đến lúc 16 tuổi."
28,Lack ............... food had stunted his growth.,of,in,for,on,A,lack of st: thiếu cái gì. Tạm dịch: Thiếu ăn đã làm chậm sự phát triển của nó.
29,Family members who live apart try to get together ............... Tet.,in,at,on,during,B,at Tet: vào dịp tết. Tạm dịch: Các thành viên gia đình cố gắng sum vầy vào dịp Tết.
30,On Christmas Eve children go to bed full ............... excitement.,of,with,up,in,A,to be full of: đầy cái gì. Tạm dịch: Vào đêm Giáng sinh trẻ con đi ngủ với tràn đầy vẻ hào hứng.
