id,nhom,tu_vung,nghia
129,Give,Give back,"hoàn lại, trả lại"
130,Give,Give in,"nhượng bộ, chịu thua"
131,Give,Give off,"toả ra, phát ra"
132,Give,Give out,"chia, phân phối, cạn kiệt"
133,Give,Give over,"thôi, chấm dứt, trao tay"
134,Give,Give up,từ bỏ
135,Go,Go across,"đi qua, băng qua"
136,Go,Go after,"theo sau, tán tỉnh"
137,Go,Go against,làm trái ý muốn của ai
138,Go,Go ahead,"tiến lên, thăng tiến"
139,Go,Go along,"tiến triển, tiếp tục"
140,Go,Go along with,đi cùng
141,Go,Go away,đi xa
142,Go,Go back,trở về
143,Go,Go by,"đi qua, trôi qua"
144,Go,Go in for,"tham gia, ham, mê"
145,Go,Go into,"xem xét, nghiên cứu"
146,Go,Go off,"đổ chuông, nổ tung, thiu thối"
147,Go,Go on,tiếp tục
148,Go,Go out,"mất điện, ra ngoài, đi chơi"
149,Go,Go over,"ôn lại, xem lại, soát lại"
150,Go,Go through,"xong, thành công, qua"
151,Go,Go up,tăng lên
152,Go,Go down,giảm xuống
153,Go,Go with,đi với
154,Hold,Hold back,ngăn lại
155,Hold,Hold down,giữ
156,Hold,Hold forth,"đưa ra, nêu ra"
157,Hold,Hold in,"nén lại, kìm lại"
158,Hold,Hold off,"giữ không cho lại gần, nán lại"
159,Hold,Hold on,"nắm chặt, giữ chặt"
160,Hold,Hold out,đưa ra
161,Hold,Hold over,"đình lại, hoãn lại"
162,Hold,Hold up,tắc nghẽn
163,Hang,Hang about,"đi lang thang, đi la cà, sắp đến"
164,Hang,Hang back,"do dự, lưỡng lự"
165,Hang,Hang behind,tụt lại đằng sau
166,Hang,Hang down,"rủ xuống, xoã xuống"
167,Hang,Hang on,"dựa vào, bám vào"
168,Hang,Hang out,"đi lang thang, la cà"
169,Hang,Hang up,treo lên
170,Keep,Keep away,"để ra xa, cất đi"
171,Keep,Keep back,"giữ lại, cản lại, cầm lại"
172,Keep,Keep down,nén lại
173,Keep,Keep from,"nhịn, kiêng"
174,Keep,Keep in with,thân thiện với ai
175,Keep,Keep up with,"theo kịp, đuổi kịp"
176,Keep,Keep off,tránh ra
177,Keep,Keep on,tiếp tục
178,Keep,Keep under,"đè nén, thống trị"
179,Keep,Keep up,"giữ vững, giữ không cho đổ"
180,Look,Look about,đợi chờ
181,Look,Look after,chăm sóc
182,Look,Look at,ngắm nhìn
183,Look,Look away,quay đi
184,Look,Look back,"quay lại, ngoái cổ lại"
185,Look,Look back upon,nhìn lại cái gì đã qua
186,Look,Look down,nhìn xuống
187,Look,Look down on,coi thường
188,Look,Look up to,kính trọng
189,Look,Look for,tìm kiếm
190,Look,Look forward to,mong đợi
191,Look,Look in,"nhìn vào, ghé qua thăm"
192,Look,Look into,"xem xét kỹ, nghiên cứu"
193,Look,Look on,đứng xem
194,Look,Look out,"để ý, coi chừng"
195,Look,Look out for st,trông chừng cái gì
196,Look,Look over,"xem xét, kiểm tra, tha thứ, bỏ qua"
197,Look,Look round,nhìn quanh
198,Look,Look through,"lờ đi, xem lướt qua"
199,Look,Look up,"nhìn lên, tra cứu"
200,Lay,Lay aside,"gác sang một bên, không nghĩ tới"
201,Lay,Lay down,"để xuống, xác lập, đề ra"
202,Lay,Lay for,nằm đợi
203,Lay,Lay in,"dự trữ, để dành"
204,Lay,Lay sb off,cho ai nghỉ việc
205,Lay,Lay on,"đánh, giáng đòn"
206,Lay,Lay out,"sắp đặt, bố trí, đưa ra"
207,Lay,Lay over,"trải lên, phủ lên"
208,Let,Let by,để cho đi qua
209,Let,Let down,làm cho ai đó thất vọng
210,Let,Let in,cho vào
211,Let,Let off,tha thứ
212,Let,Let on,"để lộ, tiết lộ"
213,Let,Let out,"để cho đi ra, để cho chạy thoát"
214,Let,Let up,"dịu, ngót"
215,Make,Make after,theo đuổi
216,Make,Make against,"bất lợi, có hại cho"
217,Make,Make at,"tiến tới, tấn công ai"
218,Make,Make away,vội vàng ra đi
219,Make,Make away with,"huỷ hoại, thủ tiêu, giết"
220,Make,Make off,"chuồn, cuốn gói"
221,Make,Make off with,ăn cắp
222,Make,Make out,hiểu
223,Make,Make over,"chuyển, nhượng"
224,Make,Make up,"trang điểm, bịa đặt, quyết định, làm hoà"
225,Make,Make for,tiến về hướng
226,Make,Make up of,bao gồm
227,Make,Make use of,lợi dụng
228,Make,Make up for,bù lại
229,Pass,Pass away,qua đời
230,Pass,Pass sb/st by,"lờ đi, làm ngơ"
231,Pass,Pass for,"được coi là, có tiếng là"
232,Pass,Pass off,"mất đi, biến mất (cảm giác)"
233,Pass,Pass on,truyền lại
234,Pass,Pass out,"mê man, bất tỉnh"
235,Pass,Pass over,băng qua
236,Pass,Pass round,"chuyền tay, chuyền theo vòng"
237,Pass,Pass through,"trải qua, kinh qua"
238,Pass,Pass up,"từ bỏ, khước từ"
239,Pick,Pick at,"chế nhạo, chế giễu, rầy la"
240,Pick,Pick off,nhổ đi
241,Pick,Pick up,"nhặt, đón"
242,Put,Put aside,"để dành, gạt sang một bên"
243,Put,Put back,để lại (chỗ cũ)
244,Put,Put by,lảng tránh
245,Put,Put down,đặt xuống
246,Put,Put in,đệ đơn
247,Put,Put in for,"đòi, yêu sách"
248,Put,Put off,hoãn
249,Put,Put on,"mặc (quần áo), đội (mũ), đi (giày)...."
250,Put,Put out,dập tắt
251,Put,Put through,"hoàn thành, xong xuôi"
252,Put,Put up,dựng lên
253,Put,Put sb up,cho ai đó ở nhờ
254,Put,Put up with,chịu đựng
255,Take,Take after = look like,giống
256,Take,Take along,"mang theo, đem theo"
257,Take,Take away,"mang đi, lấy đi"
258,Take,Take back,"lấy lại, mang về"
259,Take,Take down,"tháo xuống, hạ xuống"
260,Take,Take in,"hiểu, lừa gạt"
261,Take,Take off,"cởi, cất cánh"
262,Take,Take on,"đảm nhiệm, thuê mướn"
263,Take,Take out,"nhổ (cây, răng), đổ (rác)"
264,Take,Take over,"tiếp quản, kế tục"
265,Take,Take to,thích
266,Take,Take up,tiếp tục một công việc bỏ dở
267,Turn,Turn away,ngoảnh mặt đi
268,Turn,Turn back,quay lại
269,Turn,Turn down,"vặn nhỏ, từ chối"
270,Turn,Turn into,biến thành
271,Turn,Turn off,tắt đi
272,Turn,Turn on,bật lên
273,Turn,Turn out,hoá ra
274,Turn,Turn over,"lật, dở"
275,Turn,Turn up = show up = arrive,"đến, xuất hiện"
276,Try,Try on,thử đồ
277,Try,Try out = test,kiểm tra xem có hoạt động được hay không
278,Tell,Tell against,nói điều chống lại
279,Tell,Tell off,"rầy, la mắng"
280,Tell,Tell on,mách
281,Tell,Tell over,đếm
282,Tell,Tell sb/st apart,phân biệt ai/cái gì
283,See,See about,đảm đương
284,See,See after,"săn sóc, để ý tới"
285,See,See off,tiễn
286,Set,Set against,"so sánh, đối chiếu"
287,Set,Set apart,dành riêng ra
288,Set,Set back,vặn chậm lại
289,Set,Set down,"ghi lại, chép lại"
290,Set,Set off/out,khởi hành
291,Set,Set up,thành lập
292,Stay,Stay away,"không đến, vắng mặt"
293,Stay,Stay in,không ra ngoài
294,Stay,Stay out,"ở ngoài, không về nhà"
295,Stay,Stay on,ở lâu hơn dự định
296,Stay,Stay up,thức
297,Stand,Stand by,đứng cạnh
298,Stand,Stand for,"viết tắt, tượng trưng cho"
299,Stand,Stand in,đại diện cho
300,Stand,Stand in with,"vào hùa, cấu kết với"
301,Stand,Stand off,"tránh xa, lảng xa"
302,Stand,Stand on,"giữ đúng, khăng khăng đòi"
303,Stand,Stand out,nổi bật
304,Stand,Stand over,bị hoãn lại
305,Stand,Stand up,đứng dậy
306,Stand,Stand up for,"về phe, ủng hộ"
307,Stand,Stand up to,dũng cảm đương đầu
308,Stand,Stand in for,thay thế chỗ của ai
309,Run,Run after,theo đuổi ai
310,Run,Run against,"đi ngược lại, chống đối, phản đối"
311,Run,Run along,"rời đi, tránh ra xa"
312,Run,Run down,"hao mòn, tiều tuỵ"
313,Run,Run out,cạn kiệt
314,Run,Run out of,hết sạch cái gì
315,Run,Run on,chạy bằng cái gì
316,Run,Run over,"cán lên, đè lên"
317,Run,Run through,tiêu xài phung phí
318,Watch,Watch after,"dõi theo, nhìn theo"
319,Watch,Watch for,"chờ, đợi"
320,Watch,Watch out,"đề phòng, coi chừng"
321,Watch,Watch over,"trông nom, canh gác"
322,Wear,Wear away,"làm mòn dần, làm mất dần"
323,Wear,Wear down,làm kiệt sức dần
324,Wear,Wear off,làm mòn mất
325,Wear,Wear out,"làm rách, làm sờn, làm mệt lử"
326,Wipe,Wipe at,"quật, giáng cho một đòn"
327,Wipe,Wipe away,"tẩy, lau sạch"
328,Wipe,Wipe out,xoá sạch
