id,cau_hoi,A,B,C,D,dap_an,giai_thich
11,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,elephant,dinosaur,buffalo,mosquito,D,"D. mosquito /mɒ'skiːtəʊ/ (âm tiết 2). Các từ còn lại âm tiết 1: elephant /'elɪfənt/, dinosaur /'daɪnəsɔː/, buffalo /'bʌfələʊ/."
12,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,image,predict,envy,cover,B,"B. predict /prɪ'dɪkt/ (âm tiết 2). Các từ còn lại âm tiết 1: image /'ɪmɪdʒ/, envy /'envɪ/, cover /'kʌvə/."
13,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,company,atmosphere,customer,employment,D,"D. employment /ɪm'plɔɪmənt/ (âm tiết 2). Các từ còn lại âm tiết 1: company, atmosphere, customer."
14,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,commit,index,pyramid,open,A,"A. commit /kə'mɪt/ (âm tiết 2). Các từ còn lại âm tiết 1: index /'ɪndeks/, pyramid /'pɪrəmɪd/, open /'əʊpən/."
15,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,habitat,candidate,wilderness,attendance,D,"D. attendance /ə'tendəns/ (âm tiết 2). Các từ còn lại âm tiết 1: habitat, candidate, wilderness."
16,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,satisfactory,alter,military,generously,A,"A. satisfactory /ˌsætɪs'fæktəri/ (âm tiết 3). Các từ còn lại âm tiết 1: alter, military, generously."
17,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,enrichment,advantage,sovereignty,edition,C,"C. sovereignty /'sɒvrənti/ (âm tiết 1). Các từ còn lại âm tiết 2: enrichment, advantage, edition."
18,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,economic,considerate,continental,territorial,B,"B. considerate /kən'sɪdərət/ (âm tiết 2). Các từ còn lại âm tiết 3: economic, continental, territorial."
19,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,interact,specify,illustrate,fertilize,A,"A. interact /ˌɪntər'ækt/ (âm tiết 3). Các từ còn lại âm tiết 1: specify, illustrate, fertilize."
20,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,characterize,facility,irrational,variety,A,"A. characterize /'kærəktəraɪz/ (âm tiết 1). Các từ còn lại âm tiết 2: facility, irrational, variety."
21,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,depend,vanish,decay,attack,B,"B. vanish /'vænɪʃ/ (âm tiết 1). Các từ còn lại âm tiết 2: depend, decay, attack."
22,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,classroom,agreement,mineral,violent,B,"B. agreement /ə'griːmənt/ (âm tiết 2). Các từ còn lại âm tiết 1: classroom, mineral, violent."
23,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,accountant,professor,develop,typical,D,"D. typical /'tɪpɪkl/ (âm tiết 1). Các từ còn lại âm tiết 2: accountant, professor, develop."
24,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,energy,window,energetic,exercise,C,"C. energetic /ˌenə'dʒetɪk/ (âm tiết 3). Các từ còn lại âm tiết 1: energy, window, exercise."
25,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,poison,thoughtless,prevention,harmful,C,"C. prevention /prɪ'venʃn/ (âm tiết 2). Các từ còn lại âm tiết 1: poison, thoughtless, harmful."
26,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,traditional,majority,appropriate,electrician,D,"D. electrician /ɪˌlek'trɪʃn/ (âm tiết 3). Các từ còn lại âm tiết 2: traditional, majority, appropriate."
27,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,imprisonment,behave,disqualified,picturesque,D,"D. picturesque /ˌpɪktʃə'resk/ (âm tiết 3). Các từ còn lại âm tiết 2: imprisonment, behave, disqualified."
28,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,afternoon,necessary,compliment,serious,A,"A. afternoon /ˌɑːftə'nuːn/ (âm tiết 3). Các từ còn lại âm tiết 1: necessary, compliment, serious."
29,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,discuss,attentive,conclusion,conversationalist,D,"D. conversationalist /ˌkɒnvə'seɪʃənəlɪst/ (âm tiết 3). Các từ còn lại âm tiết 2."
30,Mark the letter A B C or D to indicate the word that differs from the other three in the position of primary stress.,invitation,computation,industry,understand,C,"C. industry /'ɪndəstri/ (âm tiết 1). Các từ còn lại âm tiết 3: invitation, computation, understand."
