FileAudio,Transcripts,Question,Option A,Option B,Option C,Option D,Correct Answer
T1_9.mp3,"Welcome to the Westfield Hotel! I'm the
event coordinator, and this is my associate,
Diane. So, you'd like to host an event here?
Yes I work for the National Journalists
Association. We're planning our annual
awards banquet for June-for about a
hundred guests.
Well, we have a beautiful ballroom on this
floor that I can show you. It's been used for
awards ceremonies before.
Okay. Also, about half of our guests will
be coming from out of town. Do you have
enough rooms available for them to stay
here?
I'm sure we do, but we'll check and send
you a quote for a group rate.
And additionally, we do offer free shuttle
service to and from the airport.","What type of event is being planned?
(A) A trade show
(B) An awards ceremony
(C) A film festival
(D) A wedding ",A trade show,An awards ceremony,A film festival,"A wedding ",B
,,"What does the man ask about?
(A) Accommodations
(B) Entertainment
(C) Meal options
(D) Outdoor seating ",Accommodations,Entertainment,Meal options,Outdoor seating ,A
,,"What does the hotel offer for free?
(A) Meals
(B) Internet access
(C) Transportation
(D) Parking",Meals,Internet access,Transportation,Parking,C
T1_10.mp3 ,"Excuse me. My mobile phone is out of
power. Are there any tables here at the
cafe that are near a wall socket, so I can
charge my phone while I have some coffee?
Well, we only have a few outlets. And ...
it looks like all the tables near them are
occupied. I'm sorry about that.
Hmm. In that case, can you suggest
anywhere nearby where I might be able to
sit for a few minutes and charge my phone,
then?
You know, the public library would be
perfect for that, and it's just a block up the
hill. You'll see it on the corner of Willow
Street. ","What problem do~s the man mention?
(A) His car is out of fuel.
(B) His phone battery is empty.
(C) He is late for an appointment.
(D) He forgot his wallet. ",His car is out of fuel.,His phone battery is empty.,He is late for an appointment.,He forgot his wallet. ,B
,,"Where are the speakers?
(A) At a train station
(B) At an electronics repair shop
(C) At a furniture store
(D) At a coffee shop ",At a train station,At an electronics repair shop,At a furniture store,At a coffee shop ,D
,,"What does the woman suggest the man do?
(A) Check a Web site
(B) Call a taxi
(C) Return at a later time
(D) Go to the library ",Check a Web site,Call a taxi,Return at a later time,Go to the library ,D
T1_11.mp3,"Attention all listeners! Palmer's Gym
now has several locations in your area. We
have everything you need to keep fit, including
exercise classes and fitness instructors ready to
help you! But that's not all. Starting in April,
your membership gives you access to any of our
locations across the country. So if you're traveling
for business or just on vacation, you won't have to
skip your workout routine! Visit our Web site to
see a map of all the Palmer's Gym locations across
the nation! ","What type of business is being advertised?
(A) A farmers market
(B) A fitness center
(C) A medical clinic
(D) A sporting goods store ",A farmers market,A fitness center,A medical clinic,A sporting goods store ,B
,,"What will the listeners be able to do starting in April?
(A) Use multiple locations
(B) Try free samples
(C) Meet with a nutritionist
(D) Enter a contest ",Use multiple locations,Try free samples,Meet with a nutritionist,Enter a contest ,A
,,"Why does the speaker invite the listeners to visit a
Web site?
(A) To write a review
(B) To register for a class
(C) To check a policy
(D) To look at a map ",To write a review,To register for a class,To check a policy,To look at a map ,D
T1_12.mp3,"Before we end this meeting, I want to
thank everyone for the extra hours you've put
in getting our new line of camera accessories
ready for market. Because of your willingness
to work overtime, the new products will be
ready in time for the trade show coming up next
month in Shanghai. That's in addition to the
accessories we usually display, but it shouldn't be
a problem. We've reserved a booth at the front of
the exhibition hall this year, and it's a large space.","Why does the speaker thank the listeners?
(A) For submitting design ideas
(B) For training new employees
(C) For working overtime
(D) For earning a certification ",For submitting design ideas,For training new employees,For working overtime,For earning a certification ,C
,,"According to the speaker, what is scheduled for
next month?
(A) A retirement celebration
(B) A trade show
(C) A factory tour
(D) A store opening ",A retirement celebration,A trade show,A factory tour,"A store opening ",B
,,"What does the speaker imply when she says, ""it's a
large space""?
(A) There is room to display new merchandise.
(B) High attendance is anticipated.
(C) A venue is too expensive.
(D) There is not enough staff for an event. ",There is room to display new merchandise.,High attendance is anticipated.,A venue is too expensive.,There is not enough staff for an event. ,A
T1_13.mp3,"Good evening. My name's Mateo and I'll be
serving you tonight. Since this is your first time
here, let me tell you about our restaurant. AII the
vegetable products you see on the menu come
from our very own vegetable garden. The owner
of the cafe, Natasha, is a talented gardener who
grows our fresh produce herself. Now, tonight
we have a special entree. It's poached salmon,
caught fresh today. It's a simple dish, served with
a lemon sauce and a salad. I eat it all the time. So,
while you read over the menu, can I bring you a
beverage?","According to the speaker, what is special about the
restaurant?
(A) It has private outdoor seating.
(B) It has been recently renovated.
(C) It has a vegetable garden.
(D) It has weekly cooking classes. ",It has private outdoor seating.,It has been recently renovated.,It has a vegetable garden.,It has weekly cooking classes. ,C
,,"Who is Natasha?
(A) A business owner
(B) An interior decorator
(C) An event organizer
(D) A food writer ",A business owner,An interior decorator,An event organizer,A food writer ,A
,,"Why does the speaker say, ""I eat it all the time""?
(A) He wants to eat something different.
(B) He is recommending a dish.
(C) He knows the ingredients.
(D) He understands a dish is popular. ",He wants to eat something different.,He is recommending a dish.,He knows the ingredients.,He understands a dish is popular. ,B
T1_14.mp3,"Welcome aboard this morning's direct
flight to Toronto. We look forward to flying with
you today. Unfortunately, we've run out of space
in the overhead bins for larger carry-on bags. If
your bag won't fit under your seat, we' ll take it
from you and check it. You'll be able to pick it up
at the baggage claim when we land. In addition,
we have several meal options for purchase today.
Our standard selections are listed in the magazine
in the seat pocket in front of you. If you would
like to purchase a meal, please notify a flight
attendant. 
","Where is the announcement being made?
(A) On a bus
(B) On a ferry boat
(C) On a train
(D) On an airplane ",On a bus,On a ferry boat,On a train,On an airplane ,D
,,"What problem does the speaker mention?
(A) There is no more room for large bags.
(B) Too many tickets have been sold.
(C) Weather conditions have changed.
(D) A piece of equipment is being repaired. ",There is no more room for large bags.,Too many tickets have been sold.,Weather conditions have changed.,"A piece of equipment is being repaired. ",A
,,"According to the speaker, why should the listeners
talk with a staff member?
(A) To receive a voucher
(B) To reserve a seat
(C) To buy some food
(D) To get free headphones ",To receive a voucher,To reserve a seat,To buy some food,To get free headphones ,C
T1_15.mp3,"Hello. It's Dana, one of your truck drivers.
I'm supposed to deliver kitchen appliances to
our store branches in Syracuse. I'm looking for
one of the branches, and according to the list I
was given, there should be a store at  Thistle
Lane. Well, I've driven up and down the whole
road, and all I see are houses. I'll deliver the
appliances to the other stores on my list, but while
I'm doing that, could you please get back to me
with the correct address?","Who is the speaker?
(A) A repair person
(B) A store clerk
(C) A factory worker
(D) A truck driver",A repair person,A store clerk,A factory worker,A truck driver,D
,,"What does the company sell?
(A) Household furniture
(B) Kitchen appliances
(C) Packaged foods
(D) Construction equipment ",Household furniture,Kitchen appliances,Packaged foods,Construction equipment ,B
,,"What does the speaker imply when she says, ""alii
see are houses""?
(A) She is concerned about some regulations.
(B) She thinks a mistake has been made.
(C) A loan application has been completed.
(D) A development plan cannot be approved. ",She is concerned about some regulations.,She thinks a mistake has been made.,A loan application has been completed.,"A development plan cannot be approved. ",B
T1_16.mp3,"Good afternoon. My name is Lawrence
Wilson, and I'll be conducting the training
on how to use our company's new scheduling
software-Spark Schedule. The reason we chose
this particular software is because it makes it
easy for you to schedule meetings with people
in different time zones. That way we can conduct
business with our increasing number of clients all
over the world. And best of all, there's a mobile
phone application that you can download for free.
This will allow you to check your schedule from
any location. ","What is the talk mainly about?
(A) A mobile phone model
(B) An office security system
(C) High-speed Internet service
(D) Business scheduling software ",A mobile phone model,An office security system,High-speed Internet service,Business scheduling software ,D
,,"Why did the company choose the product?
(A) It makes arranging meetings easy.
(B) It is reasonably priced.
(C) It has good security features.
(D) It has received positive reviews. ",It makes arranging meetings easy.,It is reasonably priced.,It has good security features.,"It has received positive reviews. ",A
,,"What does the speaker say is offered with the
product?
(A) An annual upgrade
(B) A money-back guarantee
(C) A mobile phone application
(D) A customer-service help line",An annual upgrade,A money-back guarantee,A mobile phone application,A customer-service help line,C
T1_17.mp3,"This is Guo Lin with KDM TV News. Tonight,
there's news about the Ashworth City light-rail.
Work continues on this massive construction
project, but the announcement of new federal
safety regulations means that major modifications
must be made to the tracks. Opening day could
be delayed by as much as three months. Public
opinion about the railway is already divided .
Some residents say they don't approve of
how much money is being spent on the project,
but others say it's worth the cost.  I'm here
at the Fourth Street station where I'll ask a
few passersby how they feel about t his latest
development in the project. ","What does the speaker say has recently been
announced?
(A) An increase in funding
(B) A factory opening
(C) A new venue for an event
(D) A change in regulations ",An increase in funding,A factory opening,A new venue for an event,A change in regulations ,D
,,"According to the speaker, why do some people
dislike a construction project?
(A) Because it caused a power outage
(B) Because it costs too much
(C) Because roads have been closed
(D) Because of the loud noise ",Because it caused a power outage,Because it costs too much,Because roads have been closed,Because of the loud noise ,B
,,"What will the speaker do next?
(A) Introduce an advertiser
(B) Attend a press conference
(C) Interview some people
(D) End a broadcast ",Introduce an advertiser,Attend a press conference,Interview some people,End a broadcast ,C
T1_18.mp3,"First of all, we know you have a busy
schedule outside of work, so thanks for coming in
to the warehouse today to work on a Saturday. OK,
so we're here because this extra shipment was
delivered yesterday. There are hundreds of boxes,
and w e have to check what 's inside them and put
the information into our warehouse database.
Now, I'm going to assign you all to groups. Once
you have your group number, go ahead and join
your group mem bers. Group leaders will tell you
which boxes you'll be working on.
","What does the speaker thank the listeners for?
(A) Reorganizing some files
(B) Cleaning a work area
(C) Working on a Saturday
(D) Attending a training",Reorganizing some files,Cleaning a work area,Working on a Saturday,Attending a training,C
,,"In which division do the listeners most likely work?
(A) Shipping and Receiving
(B) Maintenance
(C) Sales and Marketing
(D) Accounting ",Shipping and Receiving,Maintenance,Sales and Marketing,Accounting ,A
,,"What does the speaker say he will provide?
(A) A building name
(B) Group numbers
(C) Shift schedules
(D) A temporary password ",A building name,Group numbers,Shift schedules,A temporary password ,B
