"id","cau_hoi","A","B","C","D","dap_an","giai_thich"
"11","Blenheim Palace, _____ Churchill was born, is now open to the public.","when","where","which","whose","B","Blenheim Palace là danh từ chỉ nơi chốn, vị trí còn thiếu cần một trạng ngữ. Dùng where."
"12","The man _____ I introduced you to last night may be the next president of the university.","which","whom","whose","why","B","The man là danh từ chỉ người, vị trí còn thiếu cần một tân ngữ. Dùng whom."
"13","Cathy is trustworthy. She's a person upon _____ you can always depend.","who","whom","that","Ø","B","A person là danh từ chỉ người, vị trí còn thiếu cần một tân ngữ. Giới từ (upon) chỉ đi với whom và which. Dùng whom."
"14","Your career should focus on a field in _____ you are genuinely interested.","which","what","that","Ø","A","A field là danh từ chỉ vật, vị trí còn thiếu cần một tân ngữ. Giới từ (in) chỉ đi với whom và which. Dùng which."
"15","People _____ outlook on life is optimistic are usually happy people.","whose","whom","that","which","A","People là danh từ chỉ người, outlook là danh từ thuộc sở hữu của people. Dùng whose để thể hiện quan hệ sở hữu."
"16","The girl _____ dress you admire has been working for an export company since she left school.","who","what","whose","whom","C","The girl là danh từ chỉ người, dress là danh từ thuộc sở hữu của the girl. Dùng whose."
"17","One of the people arrested was Mary Arundel, _____ is a member of the local council.","that","who","whom","Ø","B","Mary Arundel là tên riêng chỉ người, vị trí còn thiếu cần một chủ ngữ. Câu có dấu phẩy không dùng that. Dùng who."
"18","The Titanic, _____ sank in 1922, was supposed to be unsinkable.","whose","that","which","who","C","The Titanic là danh từ chỉ vật, vị trí còn thiếu cần một chủ ngữ. Câu có dấu phẩy không dùng that. Dùng which."
"19","The Newspaper is owned by the Mearson Group, _____ chairman is Sir James Bex.","which","that","who","whose","D","The Mearson Group là tên riêng của công ty, chairman là danh từ thuộc sở hữu của the Mearson Group. Dùng whose."
"20","Genghis Khan, _____ name means very mighty ruler, was a Mongol emperor in the Middle Ages.","whom","whose","who","how","B","Genghis Khan là danh từ chỉ tên người, name là danh từ thuộc sở hữu của Genghis Khan. Dùng whose."
"21","She has two brothers, _____ are engineers.","whom both","both who","both of whom","both whom","C","both of whom thay thế cho two brothers đóng chức năng làm chủ ngữ. Không có both of who vì who không bao giờ đi với giới từ trong mệnh đề quan hệ. Tạm dịch: Cô ấy có hai người anh trai, họ đều là kĩ sư."
"22","Extinction means a situation _____ a plant, an animal or a way of life stops existing.","to which","for which","on which","in which","D","Dùng in which với nghĩa tương đương với where để chỉ một tình huống/địa điểm. Tạm dịch: Sự tuyệt chủng có nghĩa là một tình huống trong đó thực vật, động vật hoặc lối sống không còn nữa."
"23","The party, _____ I was the guest of honor, was extremely enjoyable.","at that","at which","to that","to which","B","Sau dấu phẩy không dùng that. Với party ta dùng giới từ at; ngoài ra at which còn có nghĩa tương đương với where. Tạm dịch: Bữa tiệc nơi tôi là một khách mời danh dự thực sự rất vui vẻ."
"24","Ann has a lot of books, _____ she has never read.","most of that","most of these","most of which","which most of them","C","Dùng cụm đại từ quan hệ most/all/none/one/two/... + of + which/whom để thay thế tân ngữ. Tạm dịch: Ann có nhiều sách, hầu hết trong số đó cô ấy chưa bao giờ đọc."
"25","We have just visited disadvantaged children in an orphanage _____ in Bac Ninh Province.","located","locating","which locates","to locate","A","Rút gọn mệnh đề quan hệ: mệnh đề bị động dùng Vp2. Orphanage được đặt tại Bắc Ninh mang nghĩa bị động nên dùng located. Tạm dịch: Chúng tôi vừa đến thăm trẻ em bị thiệt thòi ở một trại trẻ mồ côi được đặt tại Bắc Ninh."
"26","An endangered species is a species _____ population is so small that it is in danger of becoming extinct.","whose","which","what","who","A","whose thể hiện mối quan hệ sở hữu, sau whose là một danh từ (population). Tạm dịch: Một loài nguy cấp là loài có số lượng nhỏ đến mức đang có nguy cơ tuyệt chủng."
"27","Pumpkin seeds, _____ protein and iron, are a popular snack.","that","provide","which","which provide","D","Cần mệnh đề quan hệ thay thế cho danh từ phía trước. that không dùng sau dấu phẩy. which thiếu động từ. Dùng which provide. Tạm dịch: Hạt bí ngô cung cấp protein và sắt là một món ăn phổ biến."
"28","He lives in a small town _____.","Where is called Taunton","which is called Taunton","is called Taunton","that called Taunton","B","small town là danh từ chỉ địa danh và vị trí còn thiếu cần một chủ ngữ nên phải dùng which. Tạm dịch: Anh ấy sống ở thị trấn tên là Taunton."
"29","_____ instructed me how to make a good preparation for a job interview.","John Robbins to that I spoke by telephone","John Robbins, that I spoke by telephone","John Robbins I spoke to telephone","John Robbins, whom I spoke to by telephone,","D","A sai vì không dùng giới từ trước that. B sai vì that không dùng sau dấu phẩy. John Robbins là danh từ riêng cần mệnh đề quan hệ không xác định. Dùng whom sau giới từ."
"30","The scientists _____ on this project try to find the solutions to air pollution.","working","worked","are working","who working","A","Rút gọn mệnh đề quan hệ: bỏ đại từ quan hệ và to be, chuyển động từ về V-ing nếu chủ động. Tạm dịch: Các nhà khoa học làm việc trong dự án này cố gắng tìm ra giải pháp cho ô nhiễm không khí."
