id,tu_vung,tu_loai,phien_am,nghia
42,Incinerate,v,/ɪn'sɪnəreɪt/,"thiêu rụi"
43,Incineration,n,/ɪn'sɪnəreɪʃən/,"sự thiêu rụi"
44,Infinite,a,/'ɪnfɪnət/,"vô tận"
45,Integrity,n,/ɪn'tegrəti/,"tính toàn vẹn, tính nhất quán"
46,Integrator,n,/'ɪntɪgreɪtər/,"người hợp nhất"
47,Integrate,v,/'ɪntɪgreɪt/,"hội nhập, hòa nhập"
48,Miscellaneous,a,/ˌmɪsəl'eɪniəs/,"pha tạp, hỗn hợp"
49,Nuclear power,np,/'nju:klɪər paʊər/,"năng lượng hạt nhân"
50,Opaque,a,/əʊ'peɪk/,"mờ, đục"
51,Panel,n,/'pænəl/,"ván ô (cửa, tường), bảng"
52,Photovoltaic,a,/ˌfəʊtəʊvɒl'teɪɪk/,"quang điện có lớp chặn"
53,Radioactive,a,/ˌreɪdiəʊ'æktɪv/,"phóng xạ"
54,Renewable,a,/rɪ'nju:əbəl/,"có thể tái tạo được"
55,Non-renewable,a,/ˌnɒnrɪ'nju:əbəl/,"không thể tái tạo được"
56,Reserve,n,/rɪ'zɜ:v/,"khu bảo tồn"
57,Reservation,n,/ˌrezə'veɪʃən/,"sự đặt trước, bảo tồn"
58,Resource,n,/rɪ'zɔ:s/,"nguồn (tài nguyên)"
59,Source,n,/sɔ:s/,"nguồn, điểm khởi đầu"
60,Revolutionary,a,/ˌrevə'lu:ʃənəri/,"thuộc cách mạng"
61,Revolution,n,/ˌrevə'lu:ʃən/,"cuộc cách mạng"
62,Smokeless,n,/'sməʊkləs/,"không có khói"
63,Solid,a,/'sɒlɪd/,"thể rắn, dạng rắn"
64,Speculative,a,/'spekjələtɪv/,"có tính suy đoán"
65,Stationery,n,/'steɪʃənəri/,"văn phòng phẩm"
66,Store,n,/stɔ:r/,"cửa hàng"
67,Storage,n,/'stɔ:rɪdʒ/,"sự tích trữ, lưu trữ"
68,Subdue,v,/səb'dʒu:/,"chinh phục"
69,Surcharge,n,/'sɜ:tʃɑ:dʒ/,"tiền trả thêm"
70,Synthetic,a,/sɪn'θetɪk/,"tổng hợp"
71,Tendency,n,/'tendənsi/,"xu hướng, khuynh hướng"
72,Tender,n,/'tendər/,"người trông nom"
73,Tend,v,/tend/,"trông nom, chăm sóc"
74,Transparent,a,/træn'spærənt/,"trong suốt, xuyên thấu"
75,Unleaded,a,/ʌn'ledɪd/,"không có chì"
76,Utilization,n,/ˌju:tɪlaɪ'zeɪʃən/,"sự tận dụng, sự sử dụng"
77,Virgin,n,/'vɜ:dʒɪn/,"trinh nữ"
78,Volcano,n,/vɒl'keɪnəʊ/,"núi lửa"
79,Well-grounded,a,/ˌwel 'graʊndɪd/,"có cơ sở, có minh chứng"
