id,tu_vung,tu_loai,phien_am,nghia
62,Respected,a,/rɪˈspektɪd/,"được kính trọng, tôn trọng"
63,Respective,a,/rɪˈspektɪv/,"riêng rẽ, tương ứng"
64,Respectful,a,/rɪˈspektfəl/,"lễ phép, kính cẩn"
65,Respect,n/v,/rɪˈspekt/,"(sự) kính trọng, tôn trọng"
66,Restrictively,adv,/rɪˈstrɪktɪvli/,"một cách có hạn định, hạn chế"
67,Predominantly,adv,/prɪˈdɒmɪnəntli/,"hầu hết, phần lớn, đa phần"
68,Arbitrarily,adv,/ˈɑːbɪtrərɪli/,"một cách tùy tiện, tùy ý"
69,Spontaneously,adv,/spɒnˈteɪniəsli/,"một cách tự phát"
70,Satisfactory,a,/ˌsætɪsˈfæktəri/,"vừa lòng, thỏa mãn"
71,Scholarship,n,/ˈskɒləʃɪp/,"học bổng"
72,Scholar,n,/ˈskɒlər/,"học giả"
73,Schooling,n,/ˈskuːlɪŋ/,"sự giáo dục ở nhà trường"
74,Severity,n,/sɪˈverəti/,"tính nghiêm trọng"
75,Smoothly,adv,/ˈsmuːðli/,"một cách trôi chảy"
76,State school,np,/ˈsteɪt ˌskuːl/,"trường công lập"
77,Supervision,n,/ˌsuːpəˈvɪʒən/,"sự giám sát"
78,Vocational,a,/vəʊˈkeɪʃənəl/,"nghề nghiệp; hướng nghiệp"
79,Woefully,adv,/ˈwəʊfəli/,"một cách buồn bã"
