id,tu_vung,tu_loai,phien_am,nghia
62,Over-reliance,n,/ˈəʊvər rɪ'laɪəns/,"sự quá tin cậy, tín nhiệm ai"
63,Patronize,v,/ˈpætrənaɪz/,"bảo trợ"
64,Present-day,a,/ˌpreznt ˈdeɪ/,"thời nay"
65,Up-to-date,a,/ˌʌp tə ˈdeɪt/,"sự tức thời, cập nhật"
66,Cutting-edge,a,/ˌkʌtɪŋ ˈedʒ/,"vượt trội"
67,Out-of-date,a,/ˌaʊt əv ˈdeɪt/,"lỗi mốt, lỗi thời"
68,Reminisce,v,/ˌremɪˈnɪs/,"hồi tưởng"
69,Silver-tongued,a,/ˌsɪlvə ˈtʌŋd/,"có tài hùng biện/ăn nói"
70,Smack,v,/smæk/,"hù ai bằng tiếng ồn lớn"
71,Socialization,n,/ˌsəʊʃəlaɪˈzeɪʃn/,"sự xã hội hóa"
72,Social,a,/ˈsəʊʃl/,"thuộc xã hội"
73,Sociable,a,/ˈsəʊʃəbl/,"hòa đồng"
74,Socialize,v,/ˈsəʊʃəlaɪz/,"xã hội hóa"
75,Society,n,/səˈsaɪəti/,"xã hội"
76,Socialism,n,/ˈsəʊʃəlɪzəm/,"chủ nghĩa xã hội"
77,Subtle,a,/ˈsʌtl/,"phảng phất, huyền ảo"
78,Understandably,adv,/ˌʌndəˈstændəbli/,"có thể hiểu được"
79,Expressively,adv,/ɪkˈspresɪvli/,"diễn tả ra được"
80,Ambiguously,adv,/æmˈbɪɡjuəsli/,"một cách mơ hồ"
81,Articulately,adv,/ɑːˈtɪkjələtli/,"một cách rõ ràng"
82,Utensil,n,/juːˈtensl/,"đồ dùng (chủ yếu dùng hằng ngày)"
83,Versus,prep,/ˈvɜːsəs/,"chống lại, đối lại"
84,Woefully,adv,/ˈwəʊfəli/,"một cách buồn rầu"
85,Pathetically,adv,/pəˈθetɪkli/,"một cách cảm động, lâm ly"
86,Hilariously,adv,/hɪˈleəriəsli/,"một cách vui tươi"
87,Dolefully,adv,/ˈdəʊlfəli/,"một cách u sầu, buồn thảm"
