level,grammar,listening,vocab,g_gap,l_gap,v_gap,trend_g,trend_l,trend_v,weak_grammar,weak_listening,weak_vocab,severity
4.0,0.7964126,0.81025654,0.4446475,-0.11264039,-0.12648435,0.23912473,-0.09348209,-0.30527312,-0.21561068,0,0,1,1
2.0,0.23858576,0.23174551,0.16384408,-0.027193975,-0.020353727,0.0475477,-0.020856114,0.12727565,-0.064757995,1,1,1,2
6.0,0.86437124,0.8659657,1.0,0.04574107,0.04414661,-0.08988768,0.17206337,-0.08550696,-0.018103963,0,0,0,0
4.0,0.8553078,0.803266,0.41180202,-0.16518253,-0.113140725,0.27832326,0.06577043,0.11356816,0.049145047,0,1,1,1
2.0,0.29515076,0.4218054,0.5853646,0.13895616,0.012301502,-0.15125766,0.026309391,0.08138185,-0.017914236,1,1,0,1
4.0,0.7673754,0.71070147,1.0,0.05865021,0.11532417,-0.17397438,0.13734558,0.12630613,0.045887437,0,0,0,0
1.0,0.21096525,0.07539001,0.2844461,-0.020698128,0.114877105,-0.094178975,-0.04945487,0.13126393,-0.038937926,1,0,1,2
6.0,1.0,0.7560573,1.0,-0.08131422,0.16262844,-0.08131422,0.034229152,-0.123064645,0.1623591,0,0,0,0
3.0,0.34028673,0.50897306,0.587393,0.13859753,-0.030088795,-0.10850873,-0.04344379,-0.12782547,-0.079336755,1,1,1,1
5.0,0.8382341,0.8915457,0.8872492,0.0341089,-0.019202722,-0.014906177,0.07613329,0.07883131,0.21151823,0,0,0,0
1.0,0.0010071782,0.0,0.05022077,0.016068805,0.017075984,-0.033144787,-0.18240617,-0.038761478,-0.113042034,1,1,1,2
3.0,0.3474967,0.3845611,0.49439162,0.061319787,0.024255378,-0.08557516,-0.11949808,0.047697987,0.049822524,1,0,0,0
3.0,0.7007958,0.3431351,0.57432,-0.16137886,0.1962819,-0.03490304,-0.01988754,-0.06914716,0.117237024,1,1,1,1
6.0,0.7001848,0.9221056,0.9864883,0.1694081,-0.052512713,-0.116895385,0.04945645,0.08483553,-0.026688809,0,0,0,0
4.0,0.76176965,0.7600606,0.7483358,-0.0050476226,-0.0033385968,0.00838622,0.18065524,-0.14240289,-0.02331316,0,0,0,0
3.0,0.663394,0.5448176,0.6263754,-0.051864963,0.06671135,-0.01484639,-0.111024775,0.17142504,-0.16028775,0,1,0,1
2.0,0.48739883,0.28087056,0.27555463,-0.1394575,0.06707079,0.072386704,-0.032595605,0.21214959,0.3019931,1,1,1,1
2.0,0.14061682,0.0,0.2797768,-0.00048560748,0.1401312,-0.1396456,-0.013471032,-0.22971751,-0.062814325,1,1,1,2
3.0,0.26478544,0.4525374,0.13929701,0.020754509,-0.16699743,0.14624293,-0.1543396,0.12674583,0.09482971,1,1,1,2
3.0,0.35807216,0.5293453,0.6803414,0.16451411,-0.006758985,-0.15775512,-0.10315646,-0.20024568,-0.093641385,1,1,0,1
1.0,0.0124440035,0.0,0.11584777,0.03031992,0.042763922,-0.07308384,-0.22643517,0.008192708,-0.18718272,1,1,1,2
5.0,0.98571765,1.0,0.8420199,-0.04313846,-0.05742081,0.10055927,0.05311537,-0.09543751,-0.075782366,0,0,0,0
5.0,0.9333604,1.0,0.9256293,0.01963617,-0.047003422,0.027367255,-0.08048554,0.04596702,0.011072644,0,0,0,0
1.0,0.28480077,0.0940124,0.18699522,-0.09619796,0.094590396,0.0016075664,0.09015528,-0.16868354,-0.031413198,1,1,1,2
4.0,0.74826837,0.41797143,0.71275073,-0.121938184,0.20835873,-0.08642055,0.024201296,0.018308666,-0.08670507,0,0,0,1
1.0,0.26233223,0.009517121,0.30717948,-0.069322616,0.1834925,-0.11416988,-0.056078013,-0.06604464,-0.0826505,1,1,1,2
4.0,0.56716627,0.6515986,0.7277749,0.08168034,-0.00275199,-0.07892835,-0.09566949,-0.04436782,-0.0013966293,0,0,0,1
2.0,0.57680374,0.211349,0.58627766,-0.11866028,0.24679449,-0.1281342,0.017504485,-0.0004916947,-0.111842714,0,1,1,2
4.0,0.7377788,0.756283,0.7448931,0.008539491,-0.009964672,0.0014251805,-0.042600878,-0.18490651,-0.061612334,0,0,1,0
4.0,0.78622794,0.9143647,0.9381626,0.09335712,-0.03477962,-0.058577504,0.0399608,0.056456327,-0.11543676,0,0,0,0
5.0,0.9573582,0.9155686,0.9869486,-0.0040664054,0.03772323,-0.03365682,0.115479514,-0.036646444,0.06826758,0,0,0,0
1.0,0.12641887,0.0,0.1514995,-0.033779416,0.09263945,-0.058860037,-0.11992119,-0.20482986,-0.17753416,1,1,1,2
6.0,0.8939569,0.8200638,0.8894027,-0.026149087,0.04774398,-0.021594891,-0.048816238,0.061143048,-0.036032975,0,0,0,0
2.0,0.2738747,0.45950505,0.8055535,0.23910305,0.053472713,-0.29257575,0.088455245,-0.09406755,0.032085724,1,1,0,2
1.0,0.30196652,0.22911327,0.26485837,-0.0366538,0.036199443,0.00045435817,0.10232367,-0.044341337,0.018170368,1,1,1,1
4.0,0.58735627,0.5447668,0.8418059,0.07062004,0.11320954,-0.18382958,-0.11351351,0.007366861,-0.12799616,0,1,0,1
3.0,0.30693555,0.6131247,0.4704972,0.1565836,-0.14960559,-0.006978023,-0.12265426,-0.03288412,0.0523405,1,1,1,2
5.0,0.75475794,0.98278755,0.9107554,0.128009,-0.10002058,-0.027988428,-0.09525894,-0.003265189,0.045387723,0,0,0,0
5.0,0.99668586,0.77264905,1.0,-0.0735742,0.15046257,-0.07688837,0.021462299,0.04481813,0.06529936,0,1,0,0
2.0,0.48248827,0.3636886,0.44620156,-0.051695477,0.06710423,-0.015408747,-0.16560619,-0.06339205,-0.04236305,1,1,1,2
6.0,0.95179886,0.67622757,0.9735332,-0.08461231,0.19095896,-0.10634666,0.0033555664,0.09789635,0.043952186,0,0,0,0
2.0,0.25801888,0.088603415,0.17016909,-0.085755095,0.08366038,0.0020947107,-0.04126436,0.068939544,0.018599315,1,1,1,2
3.0,0.37951544,0.5820125,0.35391256,0.05896471,-0.1435323,0.08456759,-0.09030271,-0.07603598,0.21939719,1,1,1,1
2.0,0.3384259,0.18885717,0.03250177,-0.15183096,-0.0022622175,0.15409318,-0.02582203,-0.10092576,-0.21572778,1,1,0,2
6.0,0.74733007,0.922408,0.900594,0.10944728,-0.065630645,-0.043816634,-0.003555229,0.05552805,0.03668681,0,0,0,0
2.0,0.35260502,0.12515344,0.26286918,-0.10572914,0.12172244,-0.015993299,-0.07094684,0.11939781,0.03409301,1,1,0,1
1.0,0.059610423,0.35863942,0.13582003,0.12507953,-0.17394947,0.048869926,0.12307475,0.07239636,-0.012586961,1,1,1,2
3.0,0.4611842,0.44407567,0.6751181,0.06560844,0.08271699,-0.14832543,-0.06662698,-0.11967872,0.086078815,1,1,0,1
6.0,0.65745085,0.7515183,0.8278442,0.0881536,-0.005913852,-0.08223975,-0.012023753,-0.040082097,0.08796124,0,1,0,0
5.0,0.78823483,0.5531529,0.57740515,-0.14863719,0.086444706,0.062192492,-0.07159698,-0.09618234,0.015065142,0,0,0,1
4.0,0.5360273,0.6125512,0.988761,0.17641918,0.09989533,-0.27631453,0.08086653,0.12916991,-0.011923164,0,0,0,1
5.0,0.9738025,0.8473708,0.6564687,-0.14792182,-0.02149016,0.16941197,-0.11340454,0.03193888,-0.22436294,1,0,1,1
5.0,0.7361746,0.7982016,0.7741699,0.03334078,-0.02868625,-0.0046545286,0.0102890115,-0.115058064,0.20494004,0,1,0,0
3.0,0.4624393,0.4857947,0.3741004,-0.021661168,-0.04501658,0.06667775,-0.1153022,-0.06757996,-0.25329465,1,0,1,1
2.0,0.25677592,0.36482716,0.464965,0.10541344,-0.0026377926,-0.10277564,-0.20952156,-0.12877533,0.042643715,1,1,1,2
5.0,0.83865,0.9413533,0.7427768,0.0022767235,-0.10042661,0.09814988,-0.0713771,-0.043472826,0.021980569,0,0,0,1
4.0,0.64586186,0.42891398,0.7413492,-0.040486865,0.17646104,-0.13597418,-0.085573666,0.024780674,-0.14813994,0,1,0,1
3.0,0.7311424,0.6637687,0.44431368,-0.118067496,-0.05069376,0.16876125,0.036597494,-0.08341569,0.20369865,0,0,1,1
1.0,0.45082536,0.40474248,0.24266428,-0.084748,-0.038665097,0.12341309,-0.110663615,-0.024996664,0.06225898,1,1,0,1
4.0,1.0,0.8418414,1.0,-0.052719537,0.105439074,-0.052719537,-0.20748328,0.025512291,0.036567714,0,1,0,0
2.0,0.23475035,0.37229496,0.19371821,0.032170825,-0.105373785,0.07320296,-0.23814896,-0.22303674,-0.16387871,1,1,1,2
6.0,0.84106356,0.92598814,0.59492403,-0.05373833,-0.13866292,0.19240125,0.0061913347,-0.17685628,0.14590114,0,0,0,0
2.0,0.36981237,0.26302913,0.110933855,-0.12188725,-0.015104014,0.13699126,0.015457791,-0.08309619,0.12216642,1,1,1,2
1.0,0.056427546,0.20523794,0.24151613,0.11129966,-0.037510734,-0.07378892,-0.02795651,-0.13394956,-0.0146766575,1,1,1,2
5.0,0.99877393,0.9238265,0.925581,-0.049380153,0.025567306,0.023812845,-0.04653495,0.04117559,0.18867585,0,1,0,0
2.0,0.30367607,0.44381896,0.2827635,0.039743435,-0.10039945,0.060656015,-0.0007161176,-0.064087145,-0.0024867943,1,0,1,1
2.0,0.24820003,0.28348026,0.295811,0.027630392,-0.0076498273,-0.019980565,-0.21553145,0.03837206,0.008692036,1,1,1,2
4.0,0.5836624,0.7239979,0.47485393,0.010508991,-0.12982647,0.11931748,-0.21891727,0.035179242,-0.023115203,0,0,1,1
5.0,0.772965,0.7538647,1.0,0.06931156,0.08841186,-0.15772341,-0.15011448,0.07040022,0.08172164,1,1,0,0
2.0,0.37290248,0.5117724,0.16223311,-0.02393316,-0.16280305,0.18673621,-0.049222514,-0.077385455,0.020936279,1,1,0,2
2.0,0.3595429,0.52290887,0.2762181,0.026680382,-0.13668558,0.11000519,0.050256122,-0.05111576,-0.08366314,1,1,1,2
