macauhoi,topic,kynang,mucdo,noidung,A,B,C,D,dapandung,giaithich
89a2850e-e048-466f-956c-712e1d56f781,10,GRAMMAR,2,"After spending a week in bed, she made a complete ___________.",recover,recovering,recovery,recovered,C,"A. recover /rɪˈkʌvər/ (v): hồi phục | B. recovering /rɪˈkʌvərɪŋ/ (V-ing) | C. recovery /rɪˈkʌvəri/ (n): sự hồi phục | D. recovered /rɪˈkʌvərd/ (V-ed). Căn cứ vào tính từ ""complete"" thì trong ô trống ta cần một danh từ. Tạm dịch: Sau khi phải nằm cả tuần trên giường bệnh, cô ấy đã hồi phục hoàn toàn."
16988fe3-02d1-474d-813e-a2f5853e7e95,19,VOCAB,2,"After the Mongol invasion of 1241, a _____ was built on the hills opposite the city.",citadel,pyramid,villa,palace,A,A. citadel /'sɪtədel/ (n): cố đô | B. pyramid /'pɪrəmɪd/ (n): Kim Tự tháp | C. villa /'vɪlə/ (n): biệt thự | D. palace /'pælɪs/ (n): tòa lâu đài. Tạm dịch: Sau sự xâm lược của Mông Cổ vào năm 1241 một cố đô đã được xây trên đồi đối diện thành phố.
afd3fe56-d2a9-436d-9987-6eb92d553d51,9,GRAMMAR,2,"After the visit to that special school, we ___________ friends with some students with reading disabilities.",acquainted,had,made,realized,C,"Cấu trúc: make friend: kết bạn. Tạm dịch: Sau chuyến thăm ngôi trường đặc biệt đó, chúng tôi đã kết bạn với một số học sinh mắc chứng khó đọc."
04f34817-93cc-492b-ac77-28e0ff865d5b,27,VOCAB,2,"After using an app to learn English on mobile phone, his understanding of the language is growing _____",from time to time,by leaps and bounds,slow but sure,for the time being,B,"A. from time to time: thỉnh thoảng | B. by leaps and bounds: tiến bộ nhanh chóng | C. slow but sure: chậm mà chắc | D. for the time being: trong thời gian này. Tạm dịch: Sau khi sử dụng một ứng dụng để học tiếng Anh trên điện thoại di động, sự hiểu biết về ngôn ngữ của anh ấy đang tiến bộ nhanh chóng."
3f089937-5035-4768-875c-0aebd140c319,10,GRAMMAR,2,A healthy ___________ between work and play ensures that everyone has a chance to enjoy their lives.,balance,control,equality,share,A,A. balance /ˈbæləns/ (n): sự cân bằng | B. control /kənˈtrəʊl/ (n): sự kiểm soát | C. equality /iˈkwɒləti/ (n): sự công bằng | D. share /ʃeər/ (n): sự chia sẻ. Cấu trúc: have a chance: có cơ hội. Tạm dịch: Một sự cân bằng hợp lý giữa làm việc và vui chơi đảm bảo rằng mọi người đều có cơ hội tận hưởng cuộc sống.
c0c8d0ee-fbe5-4fa6-95da-049993a8d2df,26,VOCAB,2,A healthy lifestyles with regular stints of exercises and a diet rich in vitamins is a sure way to _____ one’s immune system.,keep up,build up,carry on,stand up,B,A. keep up: duy trì | B. build up: làm tăng | C. carry on: tiếp tục | D. stand up: đứng lên. Tạm dịch: Một lối sống lành mạnh cùng với việc tập thể dục thường xuyên mỗi ngày kết hợp với một thực đơn giàu vitamin là một cách đảm bảo tăng cường hệ miễn dịch.
1f571dee-3a7f-44ec-962e-2f34447fa4a7,14,GRAMMAR,2,A ___________ is a famous cinema actor or actress.,filmgoer,film director,film maker,film star,D,"A. filmgoer (n): người thường đi xem phim ở rạp | B. film director (n): đạo diễn phim | C. film maker (n): nhà làm phim | D. film star /'fɪlm ,stɑ:r/ (n): ngôi sao điện ảnh. Tạm dịch: Một ngôi sao điện ảnh là một nam hoặc nữ diễn viên điện ảnh nổi tiếng."
34a15e65-e962-4fa4-b0d5-d1aaf57fc552,6,VOCAB,2,A ___________ is a wall that is built across a river in order to stop the water flowing and to make a lake.,panel,sail boat,dam,mill,C,"A. panel /ˈpænəl/(n): thanh, ô (cửa) | B. sail boat: thuyền buồm | C. dam /dæm/(n): cái đập | D. mill /mɪl/(n): máy xay, máy nghiền. Tạm dịch: Một cái đập là một bức tường được xây qua một con sông để ngăn nước chảy và tạo thành một cái hồ."
2f54533c-b3c7-4b6a-9dff-9f43e0947662,3,VOCAB,2,"A ___________ is money that is paid by a government or other authority in order to help an industry or business, or to pay for a public service.",capital,subsidy,investment,salary,B,A. capital (n): thủ đô | B. subsidy /ˈsʌbsədi/(n): trợ cấp | C. investment (n): đầu tư | D. salary (n): lương. Tạm dịch: Trợ cấp là tiền được trả bởi chính phủ hoặc cơ quan có thẩm quyền để giúp ngành công nghiệp hoặc doanh nghiệp.
41d7a2cb-bcbe-4a78-b87e-36d3b8f9b9b4,20,GRAMMAR,2,A large proportion of employees from all demographics claimed to be _____ with strict rules and poor working conditions of their companies.,dissatisfied,satisfied,satisfaction,unsatisfactory,A,"A. dissatisfied /dɪsˈsætɪsfaɪd/ (a): không hài lòng, bất mãn | B. satisfied /ˈsætɪsfaɪd/ (a): hài lòng, thỏa mãn | C. satisfaction /ˌsætɪsˈfækʃn/ (n): cảm giác hài lòng, sự thỏa mãn | D. unsatisfactory /ˌʌnˌsætɪsˈfæktəri/ (a): không vừa ý, không thỏa đáng. Cấu trúc: To be dissatisfied with st: không hài lòng, bất mãn với cái gì >< To be satisfied with st: hài lòng, thỏa mãn với cái gì. Tạm dịch: Một tỷ lệ lớn nhân viên từ tất cả các cuộc điều tra xã hội khẳng định rằng họ không hài lòng với các quy tắc nghiêm ngặt và điều kiện làm việc kém của các công ty của họ."
d8b1bfdf-af52-4a76-a619-424d39fa180a,30,VOCAB,2,"Albert Einstein is _____ one of the greatest scientists ever, who had a major impact on the birth of modern quantum Physics.",haphazardly,begrudgingly,indubitably,jovially,C,"A. haphazardly /.haep'haezodli/ (adv): bừa bãi, lung tung | B. begrudgingly /bi'grAdgnjli/ (adv): ghen tị, thèm muốn | C. indubitably /in'd3u:bitobol/ (adv): không thể nghi ngờ, rõ ràng, chắc chắn | D. jovially /'dsouvioli/ (adv): một cách vui vẻ, vui tính. Tạm dịch: Albert Einstein chắc chắn là một trong những nhà khoa học vĩ đai nhất từ trước đến nay, người đã có tác động lớn đến sự ra đời của vật lí lưỡng tử hiện đại."
8c0cc50f-3dc6-4ac7-98d5-3fc198801dc3,28,GRAMMAR,2,A list of _____ events will be posted on the noticeboard.,far-reaching,forthcoming,approaching,inevitable,B,"A. far-reaching /ˌfɑː ˈriːtʃɪŋ/ (a): có ảnh hưởng sâu rộng | B. forthcoming /ˌfɔːθˈkʌmɪŋ/ (a): sắp tới, sắp đến | C. approaching /əˈprəʊtʃ/ (V-ing): đến, tới | D. inevitable /ɪnˈevɪtəbl/ (a): không thể tránh được, quen thuộc. Tạm dịch: Một danh sách các sự kiện sắp tới sẽ được đăng trên bảng thông báo."
2ff80ab2-e46e-4c17-b529-0f6fa438fe06,27,GRAMMAR,2,"Aliza always raises her hands in her classroom and buys some presents for her teachers, which makes other students dislike her. She’s such a _____",teacher's toy,teacher's pet,teacher's apple,teacher's sweet,B,Cụm từ: be a teacher's pet: là học sinh cưng của giáo viên. Tạm dịch: Aliza luôn giơ tay trong lớp và mua quà cho những thầy cô khiến những học sinh khác không thích cô ấy. Cô ấy là học sinh cưng của giáo viên. Giaoandethitienganh.info
2ba14742-f517-40a8-b70f-4fc8a8885697,26,VOCAB,2,All countries in the world are under an obligation to _____ international regulations or else their economy and stature will be under threat.,adhere to,take to,catch up,comply to,A,"A. adhere to: tuân theo | B. take to: có cảm tình, thích ai | C. catch up: bắt kịp | D. comply to (không có cụm này) → comply with: tuân theo. Tạm dịch: Tất cả các quốc gia trên thế giới đều phải tuân theo những quy định quốc tế nếu không nền kinh tế và vị thế của họ sẽ bị đe dọa."
51378854-0db1-422b-bfc3-df519626a077,20,VOCAB,2,"_____ , all employees in my company are efficient and have good problem-solving skills.",Fair and square,Ins and outs,Odds and ends,By and large,D,"A. Fair and square: công bằng và thẳng thắn | B. Ins and outs: chi tiết và tính phức tạp của điều gì | C. Odds and ends: đầu thừa đuôi thẹo, vật linh tinh, không cần thiết | D. By and large: nhìn chung. Tạm dịch: Nhìn chung, tất cả nhân viên trong công ty của tôi đều làm việc hiệu quả và có kỹ năng giải quyết vấn đề tốt."
8dfa19ff-e91e-462b-9a6a-6181f8a5721d,6,VOCAB,2,All fossil fuels are ___________ resources that cannot be replaced after use.,unlimited,renewable,available,non-renewable,D,"A. unlimited /ʌnˈlɪmɪtɪd/(a): không giới hạn, vô tận | B. renewable /rɪˈnjuːəbl/(a): có thể tái tạo được | C. available /əˈveɪləbl/(a): có sẵn | D. non-renewable /ˌnɒnrɪˈnjuːəbl/(a): không tái tạo được. Tạm dịch: Tất cả nhiên liệu hóa thạch là những nguồn không thể tái tạo được, những cái không thể thay thế sau khi sử dụng."
7bf043f3-4f09-4f3e-97bf-7c1cf2d4fe7c,4,VOCAB,2,All nations should ___________ hands to work out a plan to solve the problem of global warming.,join,hold,shake,lend,A,"A. join hands (v): chung tay, hiệp lực, góp sức | B. hold hands (v): nắm tay (2 người yêu nhau) | C. shake hands (v): bắt tay | D. lend a hand = help (v): giúp đỡ. Tạm dịch: Tất cả các quốc gia nên chung tay lập ra một kế hoạch để giải quyết vấn đề nóng lên toàn cầu."
69fd6323-f149-40f1-903e-429e45592673,7,VOCAB,2,All the different plants and animals in a natural community are in a _________ of balance.,state,status,situation,position,A,A. state /steɪt/ (n): trạng thái | B. status /'steɪtəs/ (n): địa vị | C. situation /ˌsɪtʃu'eɪʃn/ (n): tình huống | D. position /pə'zɪʃn/ (n): vị trí. In a state of balance: ở trạng thái cân bằng. Tạm dịch: Tất cả các loài động thực vật khác nhau sống trong cùng một quần xã đang ở trong trạng thái cân bằng.
c698f7dc-b816-498f-bbc3-3f26e22a7b7b,13,GRAMMAR,2,All the three boys seem to fall ___________ over heels in love with her.,head,heart,mind,soul,A,"Cấu trúc: fall head over heels in love: si mê ai đó, yêu ai đó say đắm. Tạm dịch: Cả ba chàng trai dường như đều si mê cô ấy."
54f2cafd-65b0-4bb8-8a1a-632a20c38a4d,15,VOCAB,2,"“All work and no play makes Jack a dull boy” is a proverb which means that without time ___________ work, a person becomes both bored and boring.",on and on,off from,on and off,away from,B,A. on and on: liên tục | B. off from work: nghỉ làm | C. on and off: thất thường. Tạm dịch: Chỉ biết làm việc và không chơi bời khiến Jack trở thành cậu bé đần độn.
6cec323d-d917-41d1-bc38-c1c9056936cf,9,GRAMMAR,2,A lot of generous businessmen have ___________ valuable contributions to helping needy people.,done,taken,made,given,C,"Cấu trúc: make contributions to: đóng góp, ủng hộ. Tạm dịch: Nhiều doanh nhân hào phóng đã ủng hộ để giúp đỡ những người khó khăn."
186efe4e-72c4-4b18-afa8-1350acdb3fd9,3,VOCAB,2,A lot of people left their home villages for urban areas hoping to find jobs in the rapidly ___________ industries in big towns and cities.,spreading,expanding,surrounding,boarding,B,"A. spreading /spredɪŋ/(n): sự lan rộng | B. expanding /ɪkˈspændɪŋ/(n): sự mở rộng, phát triển | C. surrounding /səˈraʊndɪŋ/(a): phụ cận | D. boarding /ˈbɔːdɪŋ/(n): sự lên tàu. Tạm dịch: Rất nhiều người rời quê hương để đến các khu vực thành thị hi vọng sẽ tìm được công việc trong các ngành công nghiệp đang phát triển nhanh chóng."
4d5b9221-e90a-4a6b-8f63-21c4e1fcc918,16,VOCAB,2,Already there are encouraging signs that the rate of increase in many less developed countries is beginning to _____.,slow down,speed up,cool down,heat up,A,"A. slow down: giảm tốc độ, làm chậm lại | B. speed up: tăng tốc, làm nhanh lên | C. cool down: làm mát, trở nên bình tĩnh hơn | D. heat up: làm ấm, làm nóng. Tạm dịch: Đã có những dấu hiệu tích cực về tỉ lệ tăng dân số ở các nước kém phát triển đang bắt đầu giảm đi."
ea93836f-1ca7-4fd2-98eb-d37bda198c89,4,GRAMMAR,2,"Although climate changes have occurred on our planet before, these ___________ changes were different from the modern ones in that they occurred gradually and, as far as we know, naturally.",climate,climatology,climatic,climax,C,"A. climate /ˈklaɪmət/ (n): thời tiết | B. climatology /ˌklaɪməˈtɒlədʒi/ (n): khí hậu học | C. climatic /klaɪˈmætɪk/ (a): thuộc khí hậu, thuộc nhiệt đới | D. climax /ˈklaɪmæks/ (n): cao trào (văn chương). Cụm danh từ: climatic changes (n): những thay đổi về thời tiết. Tạm dịch: Mặc dù biến đổi khí hậu đã xảy ra trên hành tinh chúng ta trước đây rồi nhưng những thay đổi khí hậu này khác với những điều hiện đại do chúng xảy ra dần dần và theo như chúng ta biết thì chúng diễn ra một cách tự nhiên."
a05f9ca7-ca95-4095-bab5-756009ebdfc0,4,VOCAB,2,"Although government ___________ may try to catch them doing it, it can be very difficult to get proof that a particular business is responsible for an environmental problem.",suspicion,suspect,inspection,inspectors,D,"A. suspicion /səˈspɪʃn/ (n): sự nghi ngờ | B. suspect /səˈspekt/ (v): nghi ngờ | C. inspection /ɪnˈspekʃn/ (n): sự kiểm tra, sự thanh tra | D. inspectors /ɪnˈspektərz/ (n): người kiểm tra, thanh tra viên. Tạm dịch: Mặc dù thanh tra chính phủ có thể cố gắng bắt được họ đang làm việc đó, nhưng có thể rất khó khăn để có được bằng chứng cho thấy một doanh nghiệp cụ thể phải chịu trách nhiệm về một vấn đề môi trường."
b9068f33-82da-44b4-a890-ed75fa3e9e1c,20,GRAMMAR,2,"Although her boss gives quite obvious a hint of dismissing Nancy for her incompetence, she is still _____ ignorant of the fact that she is about to face up to a gloomy scenario of unemployment. _____",jubilantly,ecstatically,blissfully,decorously,C,"A. jubilantly /ˈdʒuːbɪləntli/ (adv): một cách vui vẻ, hân hoan (niềm vui chiến thắng) | B. ecstatically /ɪkˈstætɪkli/ (adv): một cách đê mê, ngây ngất | C. blissfully /ˈblɪsfəli/ (adv): một cách hạnh phúc, sung sướng | D. decorously /ˈdekərəsli/ (adv): một cách lịch thiệp, đúng đắn. Cấu trúc: blissfully ignorant: không biết và không muốn biết về những điều gì không vui, không tốt đẹp. Tạm dịch: Mặc dù ông chủ của cô ấy đưa ra một ám chỉ khá rõ ràng về việc sa thải Nancy vì sự bất tài của cô nhưng cô ấy vẫn không biết gì về sự thật rằng cô sắp phải đối mặt với một viễn cảnh mù mịt của sự thất nghiệp."
ba482e68-b3d5-44e8-84b6-a76fda77b24c,29,GRAMMAR,2,"Although his flight lasted only 108 minutes, its _____ made him a national hero.",succeed,successful,successive,success,D,A. succeed /səkˈsiːd/ (v): thành công | B. successful /səkˈsesfəl/ (a): thành công | C. successive /səkˈsesɪv/ (a): liên tiếp | D. success /səkˈses/ (n): sự thành công. Tạm dịch: Mặc dù chuyến bay của anh ấy kéo dài chỉ 108 phút nhưng thành công của chuyến bay đã khiến anh ấy trở thành anh hùng dân tộc.
5b8925ae-6547-47da-87c3-9bc122761628,17,GRAMMAR,2,"Although I did not totally agree _____ feminist's policies, I certainly admired their audacity, dedication and courage.",for,with,along,up,B,"Cấu trúc: agree with sb on/upon st: đồng ý với ai về điều gì. Tạm dịch: Mặc dù tôi không hoàn toàn đồng ý với các chính sách của các nhà bênh vực nữ quyền, tôi rất ngưỡng mộ sự mạnh dạn, sự tận tâm và sự dũng cảm của họ."
63b1283f-9beb-4964-9eb2-fb9fe20c2513,30,VOCAB,2,"Although organ transplantation can bring patients back to life, the cost of this practice _____ is _____ and not everybody can afford it.",repressive,prohibitive,restrictive,exclusive,B,"A. repressive /rɪˈpresɪv/ (a): hà khắc | B. prohibitive /prəˈhɪbətɪv/ (a): cao đến mức không thể mua được (về giá cả), đắt đỏ | C. restrictive /rɪˈstrɪktɪv/ (a): hạn chế, giới hạn | D. exclusive /ɪkˈskluːsɪv/ (a): dành riêng cho. Tạm dịch: Mặc dù cấy ghép nội tạng có thể giữ được mạng sống cho bệnh nhân nhưng chi phí cho điều này là vô cùng đắt đỏ và không phải ai cũng có thể đủ khả năng chỉ trả."
295b08af-6ba3-4d26-864b-0d13a5bdd17f,23,VOCAB,2,"Although Robert has cyber phobia, failing to use computers and modern devices at this technology-driven era is _____ for him.",a kick in the teeth,a shot in the dark,a nail in the coffin,an open and shut case,C,"A. a kick in the teeth: đối xử với ai tệ và không công bằng | B. a short in the dark: cố gắng đoán điều gì khi bạn không có kiến thức về nó | C. a nail in the coffin: điều gì đó gây ra thất bại hoặc sắp thất bại | D. an open and shut case: trường hợp rõ ràng, dễ giải quyết. Tạm dịch: Mặc dù Robert mắc chứng ám ảnh về công nghệ, không thể sử dụng máy tính và các thiết bị hiện đại ở trong kỉ nguyên công nghệ là một thất bại đối với anh ta."
ea6aeeb1-3072-4a06-ba5d-281db00f7aa4,25,GRAMMAR,2,"Although the first printed books had appeared long before in China, the term ""mass media"" we use today was _____ with the creation of print media, which started in Europe in the Middle Ages.",developed,covered,coined,separated,C,"A. developed /dɪ'veləpt/ (v-ed): phát triển | B. covered /ˈkʌvəd/ (v-ed): bao phủ | C. coined /kɔɪn/ (v-ed): đặt ra, tạo ra | D. separated /ˈsepəreɪtɪd/ (v-ed): chia tách. Tạm dịch: Mặc dù những cuốn sách in đầu tiên đã xuất hiện từ lâu ở Trung Quốc, thuật ngữ ""phương tiện truyền thông đại chúng"" mà chúng ta sử dụng ngày nay được đặt ra với việc tạo ra phương tiện in ấn, bắt đầu ở châu Âu vào thời trung cổ."
