id,cau_hoi,A,B,C,D,dap_an,giai_thich
11,"A new campaign has already been _________ by all high schools in the district to help disadvantaged children go to school.",stimulated,achieved,launched,determined,C,"A. stimulate /'stɪmjəleɪt/ (v): khuyến khích | B. achieve /ə'tʃi:v/ (v): đạt được | C. launch /lɔ:ntʃ/ (v): phát động | D. determine /dɪ'tɜ:mɪn/ (v): quyết định. Tạm dịch: Một chiến dịch mới đã được phát động bởi tất cả các trường cấp 3 trong quận để giúp đỡ học sinh khuyết tật đến trường."
12,"There was a _________ two-minute silence as we remembered the soldiers who had died in the war.",respectful,respectable,respective,respect,A,"A. Respectful /rɪ'spektfəl/ (a): tôn kính | B. Respectable /rɪ'spetəbəl/ (a): đáng kính trọng | C. Respective /rɪ'spektɪv/ (a): tương ứng | D. Respect /rɪ'spekt/ (v/n): kính trọng. Sau mạo từ “a”, trước danh từ “two-minute silence” ta cần một tính từ nên loại đáp án D. Căn cứ vào nghĩa của câu ta chọn đáp án A. Tạm dịch: Có 2 phút mặc niệm để chúng ta tưởng nhớ về những người đã hy sinh trong chiến tranh."
13,"The Beatles _________ in 1970 and its members followed their individual careers.",fell out,got over,let down,split up,D,"A. fall out: rơi ra ngoài; xoã ra (tóc) | B. get over: vượt qua | C. let down: làm ai thất vọng | D. slipt up: tan rã. Tạm dịch: Ban nhạc Beatles đã tan rã vào năm 1970 và mỗi thành viên theo đuổi sự nghiệp riêng của mình."
14,"He _________ her comments as an implicit criticism of the government.",interpreted,translated,figured,distinguish,A,"A. interpret /ɪn'tɜ:prɪt/ (v): hiểu | B. translate /trænz'leɪt/ (v): dịch | C. figure /'fɪgər/ (v): tính toán | D. distinguish /dɪ'stɪŋgwɪʃ/ (v): phân biệt. Tạm dịch: Anh ấy đã hiểu lời nhận xét của cô ấy như là một lời chỉ trích ngầm chính phủ."
15,"The students admire Prof. Marshall not only for his _________ knowledge but also his dedication to work.",wit,wide,large,enormous,B,"A. wit /wɪt/ (n): sự hiểu nhanh | B. wide /waɪd/ (a): rộng lớn | C. large /lɑ:dʒ/ (a): rộng | D. enormous /ɪ'nɔ:məs/ (a): to lớn. Wide knowledge: hiểu biết rộng. Tạm dịch: Học sinh ngưỡng mộ giáo sư Marshall không chỉ vì tầm hiểu biết sâu rộng của ông ấy mà còn bởi sự cống hiến của ông cho công việc."
16,"Daniel inherited the whole legacy of his grandma when she _________ last week.",passed down,passed out,passed away,passed off,C,"A. pass down: truyền lại | B. pass out: bất tỉnh | C. pass away: qua đời | D. pass off: xảy ra. Tạm dịch: Daniel đã thừa kế toàn bộ tài sản của bà ngoại khi bà ấy qua đời vào tuần trước."
17,"The villagers rumored that the boy was _________ by his uncle and aunt not his parents.",brought in,brought up,grown up,raised up,B,"A. bring in: yêu cầu ai giải quyết vấn đề gì | B. bring up: nuôi dưỡng | C. grow up: trưởng thành | D. raise up: tăng. Tạm dịch: Người dân trong làng đồn rằng anh ấy đã được chú mình nuôi dưỡng chứ không phải cha mẹ."
18,"She has such an _________ voice that her fan stands in queue for hours to get tickets for her concerts.",amazing,excellent,talented,simulative,A,"A. amazing /ə'meɪzɪŋ/ (a): làm kinh ngạc, tuyệt vời | B. excellent /'eksələnt/ (a): xuất sắc | C. talented /'tæləntɪd/ (a): tài năng | D. simulative /,sɪmjə'leɪtɪv/ (a): giả vờ. Tạm dịch: Cô ấy có một giọng hát tuyệt vời đến mức người hâm mộ đã đứng xếp hàng nối đuôi nhau hàng giờ để mua vé đến buổi biểu diễn của cô ấy."
19,"David Beckham is an English footballer who has played for Manchester United and Real Madrid, as well as _________ his country 100 times.",representation,representing,representative,representatives,B,"A. representation /,reprɪzen'teɪʃən/(n): sự đại diện | B. representating /reprɪ'zent/ (v): đại diện | C. representative /,reprɪ'zentətɪv/ (n): người đại diện | D. số nhiều của “representative”. Sau cụm as well as + Ving: cũng như làm gì. Tạm dịch: David Beckham là một cầu thủ người Anh, người đã chơi cho câu lạc bộ Manchester United và Real Madrid, cũng như đại diện cho đất nước của anh ấy 100 lần."
20,"Mark Zuckerberg was born in 1984, in New York, into _________, professional family.",prosperity,prosper,prosperous,prosperously,C,"A. prosperity /prɒs'perəti/ (n): sự thành đạt | B. prosper /'prɒspər/ (v): thành đạt | C. prosperous /'prɒspərəs/ (a): thành đạt | D. prosperously /'prɒspərəsli/ (adv): phát đạt. Sau mạo từ “a”, trước danh từ “family” ta cần một tính từ loại đáp án A, B, D. Tạm dịch: Mark Zuckerberg được sinh ra vào năm 1984 ở New York trong một gia đình giáo sư thành đạt."
21,"Because of the severity of the accident, the patient required _________.",hospitalization,hospitality,hospital,hospitalize,A,"A. hospitalization /hɒspɪtəlaɪ'zeɪʃən/ (n): sự đưa vào bệnh viện | B. hospitality /,hɒspɪ'tæləti/ (n): lòng hiếu khách | C. hospital /'hɒspɪtəl/ (n): bệnh viện | D. hospitalize /'hɒspɪtəlaɪz/ (v): đưa vào bệnh viện. Sau động từ “required” ta cần một danh từ loại đáp án D. Tạm dịch: Bởi vì tính nghiệm trọng của vụ tai nạn, cần đưa nạn nhân vào bệnh viện."
22,"Mark Zuckerberg's enormous success has taken a lot of hard work and _________.",indifference,dedication,loyalty,reputation,B,"A. indifference /ɪn'dɪfərəns/ (n): sự thờ ơ | B. dedication /,dedɪ'keɪʃən/ (n): sự cống hiến, sự hi sinh | C. loyalty /'lɔɪəlti/ (n): sự trung thành | D. reputation /,repjə'teɪʃən/ (n): danh tiếng. Tạm dịch: Sự thành công to lớn của Mark Zuckerberg là kết quả của rất nhiều công sức vất vả và hi sinh."
23,"He felt a sense of incredulity, anger and pain at the _________ made against him.",judgement,improvement,progress,accusation,D,"A. Judgement /'dʒʌdʒmənt/ (n): sự đánh giá | B. Improvement /ɪm'pru:vmənt/ (n): sự cải thiện | C. Progress /'prəʊgres/ (n): sự tiến bộ | D. Accusation /,ækju'zeɪʃn/ (n): sự kết tội. Tạm dịch: Anh ấy đã cảm thấy nghi ngờ, tức giận và đau đớn với sự kết tội được tạo ra để chống lại anh ấy."
24,"A _________ once said ""It is a sweet and honorable thing to die for your country.""",patriotism,patriotic,patriot,patrol,C,"A. patriotism /'pætrɪətɪzəm/ (n): chủ nghĩa yêu nước | B. patriotic /,pætrɪ'ɒtɪk/ (a): yêu nước | C. patriot /'pætrɪət/ (n): người yêu nước | D. patrol /pə'trəʊl/ (n): đội tuần tra. Sau mạo từ “a” ta cần một danh từ nên loại đáp án B. Căn cứ vào nghĩa của câu ta chọn đáp án C. Tạm dịch: Một người yêu nước đã từng nói rằng “Thật đáng tự hào khi hy sinh cho Tổ quốc mình”."
25,"Nowadays, everybody knows Apples and almost everybody knows that the company was founded by Steve Jobs, an American inventor and entrepreneur, who is _________ recognized as a pioneer in the field of microcomputer revolution.",widely,hardly,legally,nationally,A,"A. widely /'waɪdli/(adv): một cách rộng rãi | B. hardly /'hɑ:dli/(adv): hiếm khi, hầu như không | C. legally /'li:gəli/(adv): một cách hợp pháp | D. nationally /'næʃənəli/(adv): về mặt dân tộc; về mặt quốc gia. Tạm dịch: Ngày nay, mọi người đều biết Apples và hầu như mọi người đều biết rằng công ty được thành lập bởi Steve Jobs, một nhà phát minh và doanh nhân người Mỹ, người được công nhận rộng rãi là người tiên phong trong lĩnh vực cách mạng máy vi tính."
26,"Bill Gates has made large donations to numerous _________ organizations.",charitable,charitably,charity,charities,A,"B. charitable /'tʃærətəbəl/ (a): từ thiện | B. charitably /'tʃærətəbli/ (adv): nhân từ | C. charity /'tʃærəti/ (n): hội từ thiện | D. charities (n): số nhiều của charity. Cần tính từ đứng trước danh từ organizations. Tạm dịch: Bill Gates đã dành một khoản tiền lớn cho nhiều tổ chức từ thiện."
27,"Marie Curie harbored the dream of a _________ career which was impossible for a woman at that time.",science,scientific,scientist,scientifically,B,"A. science /'saɪəns/ (n): khoa học | B. scientific /,saɪən'tɪfɪk/ (a): thuộc khoa học | C. scientist /'saɪəntɪst/ (n): nhà khoa học | D. scientifically /,saɪən'tɪfɪkli/ (adv): một cách khoa học. Sau mạo từ “a” trước danh từ “career” ta cần một tính từ loại đáp án A, C, D. Tạm dịch: Marie Curse đã ấp ủ ước mơ về sự nghiệp khoa học, điều là không thể với phụ nữ lúc bấy giờ."
28,"He behaved like an adult. I think he is more _________ than the other boys at his class.",intelligent,mature,ambitious,developed,B,"A. intelligent /ɪn'telɪdʒənt/ (a): thông minh | B. mature /mə'tʃuər/ (a): trưởng thành | C. ambitious /æm'bɪʃəs/ (a): tham vọng | D. developed /dɪ'veləpt/ (a): phát triển. Tạm dịch: Anh ấy cư xử như một người trưởng thành. Tôi nghĩ anh ấy trưởng thành hơn những cậu bé ở lớp học của anh ấy."
29,"Jane is always determined to do anything she wants. She's a _________ woman.",ambitious,determined,brilliant,humane,B,"A. ambitious /æm'bɪʃəs/ (a): tham vọng | B. determined /dɪ'tɜ:mɪnd/ (a): kiên quyết | C. brilliant /'brɪljənt/ (a): tài giỏi, lỗi lạc | D. humane /hju:'meɪn/ (a): nhân đạo. Tạm dịch: Jane luôn luôn quyết tâm với bất cứ những điều cô ấy muốn. Cô ấy là một người phụ nữ kiên quyết."
30,"Let me give you a little _________ about the president of the company.",specialization,concentration,background,degree,C,"A. specialization /,speʃəlaɪ'zeɪʃən/ (n): sự chuyên môn hóa | B. concentration /,kɒnsən'treɪʃən/ (n): sự tập trung | C. background /'bækgraʊnd/ (n): lý lịch | D. degree /dɪ'gri:/ (n): bằng cấp. Tạm dịch: Tôi sẽ cho bạn một ít thông tin về lý lịch của ngài chủ tịch công ty này."
