FileAudio,Transcripts,Question,Option A,Option B,Option C,Option D,Correct Answer
T1_9.mp3,"Welcome to the Westfield Hotel! I'm the
event coordinator, and this is my associate,
Diane. So, you'd like to host an event here?
Yes I work for the National Journalists
Association. We're planning our annual
awards banquet for June-for about a
hundred guests.
Well, we have a beautiful ballroom on this
floor that I can show you. It's been used for
awards ceremonies before.
Okay. Also, about half of our guests will
be coming from out of town. Do you have
enough rooms available for them to stay
here?
I'm sure we do, but we'll check and send
you a quote for a group rate.
And additionally, we do offer free shuttle
service to and from the airport.","What type of event is being planned?
(A) A trade show
(B) An awards ceremony
(C) A film festival
(D) A wedding ",A trade show,An awards ceremony,A film festival,"A wedding ",B
,,"What does the man ask about?
(A) Accommodations
(B) Entertainment
(C) Meal options
(D) Outdoor seating ",Accommodations,Entertainment,Meal options,Outdoor seating ,A
,,"What does the hotel offer for free?
(A) Meals
(B) Internet access
(C) Transportation
(D) Parking",Meals,Internet access,Transportation,Parking,C
T1_10.mp3 ,"Excuse me. My mobile phone is out of
power. Are there any tables here at the
cafe that are near a wall socket, so I can
charge my phone while I have some coffee?
Well, we only have a few outlets. And ...
it looks like all the tables near them are
occupied. I'm sorry about that.
Hmm. In that case, can you suggest
anywhere nearby where I might be able to
sit for a few minutes and charge my phone,
then?
You know, the public library would be
perfect for that, and it's just a block up the
hill. You'll see it on the corner of Willow
Street. ","What problem do~s the man mention?
(A) His car is out of fuel.
(B) His phone battery is empty.
(C) He is late for an appointment.
(D) He forgot his wallet. ",His car is out of fuel.,His phone battery is empty.,He is late for an appointment.,He forgot his wallet. ,B
,,"Where are the speakers?
(A) At a train station
(B) At an electronics repair shop
(C) At a furniture store
(D) At a coffee shop ",At a train station,At an electronics repair shop,At a furniture store,At a coffee shop ,D
,,"What does the woman suggest the man do?
(A) Check a Web site
(B) Call a taxi
(C) Return at a later time
(D) Go to the library ",Check a Web site,Call a taxi,Return at a later time,Go to the library ,D
T1_11.mp3,"Attention all listeners! Palmer's Gym
now has several locations in your area. We
have everything you need to keep fit, including
exercise classes and fitness instructors ready to
help you! But that's not all. Starting in April,
your membership gives you access to any of our
locations across the country. So if you're traveling
for business or just on vacation, you won't have to
skip your workout routine! Visit our Web site to
see a map of all the Palmer's Gym locations across
the nation! ","What type of business is being advertised?
(A) A farmers market
(B) A fitness center
(C) A medical clinic
(D) A sporting goods store ",A farmers market,A fitness center,A medical clinic,A sporting goods store ,B
,,"What will the listeners be able to do starting in April?
(A) Use multiple locations
(B) Try free samples
(C) Meet with a nutritionist
(D) Enter a contest ",Use multiple locations,Try free samples,Meet with a nutritionist,Enter a contest ,A
,,"Why does the speaker invite the listeners to visit a
Web site?
(A) To write a review
(B) To register for a class
(C) To check a policy
(D) To look at a map ",To write a review,To register for a class,To check a policy,To look at a map ,D
T1_12.mp3,"Before we end this meeting, I want to
thank everyone for the extra hours you've put
in getting our new line of camera accessories
ready for market. Because of your willingness
to work overtime, the new products will be
ready in time for the trade show coming up next
month in Shanghai. That's in addition to the
accessories we usually display, but it shouldn't be
a problem. We've reserved a booth at the front of
the exhibition hall this year, and it's a large space.","Why does the speaker thank the listeners?
(A) For submitting design ideas
(B) For training new employees
(C) For working overtime
(D) For earning a certification ",For submitting design ideas,For training new employees,For working overtime,For earning a certification ,C
,,"According to the speaker, what is scheduled for
next month?
(A) A retirement celebration
(B) A trade show
(C) A factory tour
(D) A store opening ",A retirement celebration,A trade show,A factory tour,"A store opening ",B
,,"What does the speaker imply when she says, ""it's a
large space""?
(A) There is room to display new merchandise.
(B) High attendance is anticipated.
(C) A venue is too expensive.
(D) There is not enough staff for an event. ",There is room to display new merchandise.,High attendance is anticipated.,A venue is too expensive.,There is not enough staff for an event. ,A
T1_13.mp3,"Good evening. My name's Mateo and I'll be
serving you tonight. Since this is your first time
here, let me tell you about our restaurant. AII the
vegetable products you see on the menu come
from our very own vegetable garden. The owner
of the cafe, Natasha, is a talented gardener who
grows our fresh produce herself. Now, tonight
we have a special entree. It's poached salmon,
caught fresh today. It's a simple dish, served with
a lemon sauce and a salad. I eat it all the time. So,
while you read over the menu, can I bring you a
beverage?","According to the speaker, what is special about the
restaurant?
(A) It has private outdoor seating.
(B) It has been recently renovated.
(C) It has a vegetable garden.
(D) It has weekly cooking classes. ",It has private outdoor seating.,It has been recently renovated.,It has a vegetable garden.,It has weekly cooking classes. ,C
,,"Who is Natasha?
(A) A business owner
(B) An interior decorator
(C) An event organizer
(D) A food writer ",A business owner,An interior decorator,An event organizer,A food writer ,A
,,"Why does the speaker say, ""I eat it all the time""?
(A) He wants to eat something different.
(B) He is recommending a dish.
(C) He knows the ingredients.
(D) He understands a dish is popular. ",He wants to eat something different.,He is recommending a dish.,He knows the ingredients.,He understands a dish is popular. ,B
T1_14.mp3,"Welcome aboard this morning's direct
flight to Toronto. We look forward to flying with
you today. Unfortunately, we've run out of space
in the overhead bins for larger carry-on bags. If
your bag won't fit under your seat, we' ll take it
from you and check it. You'll be able to pick it up
at the baggage claim when we land. In addition,
we have several meal options for purchase today.
Our standard selections are listed in the magazine
in the seat pocket in front of you. If you would
like to purchase a meal, please notify a flight
attendant. 
","Where is the announcement being made?
(A) On a bus
(B) On a ferry boat
(C) On a train
(D) On an airplane ",On a bus,On a ferry boat,On a train,On an airplane ,D
,,"What problem does the speaker mention?
(A) There is no more room for large bags.
(B) Too many tickets have been sold.
(C) Weather conditions have changed.
(D) A piece of equipment is being repaired. ",There is no more room for large bags.,Too many tickets have been sold.,Weather conditions have changed.,"A piece of equipment is being repaired. ",A
,,"According to the speaker, why should the listeners
talk with a staff member?
(A) To receive a voucher
(B) To reserve a seat
(C) To buy some food
(D) To get free headphones ",To receive a voucher,To reserve a seat,To buy some food,To get free headphones ,C
T1_15.mp3,"Hello. It's Dana, one of your truck drivers.
I'm supposed to deliver kitchen appliances to
our store branches in Syracuse. I'm looking for
one of the branches, and according to the list I
was given, there should be a store at  Thistle
Lane. Well, I've driven up and down the whole
road, and all I see are houses. I'll deliver the
appliances to the other stores on my list, but while
I'm doing that, could you please get back to me
with the correct address?","Who is the speaker?
(A) A repair person
(B) A store clerk
(C) A factory worker
(D) A truck driver",A repair person,A store clerk,A factory worker,A truck driver,D
,,"What does the company sell?
(A) Household furniture
(B) Kitchen appliances
(C) Packaged foods
(D) Construction equipment ",Household furniture,Kitchen appliances,Packaged foods,Construction equipment ,B
,,"What does the speaker imply when she says, ""alii
see are houses""?
(A) She is concerned about some regulations.
(B) She thinks a mistake has been made.
(C) A loan application has been completed.
(D) A development plan cannot be approved. ",She is concerned about some regulations.,She thinks a mistake has been made.,A loan application has been completed.,"A development plan cannot be approved. ",B
T1_16.mp3,"Good afternoon. My name is Lawrence
Wilson, and I'll be conducting the training
on how to use our company's new scheduling
software-Spark Schedule. The reason we chose
this particular software is because it makes it
easy for you to schedule meetings with people
in different time zones. That way we can conduct
business with our increasing number of clients all
over the world. And best of all, there's a mobile
phone application that you can download for free.
This will allow you to check your schedule from
any location. ","What is the talk mainly about?
(A) A mobile phone model
(B) An office security system
(C) High-speed Internet service
(D) Business scheduling software ",A mobile phone model,An office security system,High-speed Internet service,Business scheduling software ,D
,,"Why did the company choose the product?
(A) It makes arranging meetings easy.
(B) It is reasonably priced.
(C) It has good security features.
(D) It has received positive reviews. ",It makes arranging meetings easy.,It is reasonably priced.,It has good security features.,"It has received positive reviews. ",A
,,"What does the speaker say is offered with the
product?
(A) An annual upgrade
(B) A money-back guarantee
(C) A mobile phone application
(D) A customer-service help line",An annual upgrade,A money-back guarantee,A mobile phone application,A customer-service help line,C
T1_17.mp3,"This is Guo Lin with KDM TV News. Tonight,
there's news about the Ashworth City light-rail.
Work continues on this massive construction
project, but the announcement of new federal
safety regulations means that major modifications
must be made to the tracks. Opening day could
be delayed by as much as three months. Public
opinion about the railway is already divided .
Some residents say they don't approve of
how much money is being spent on the project,
but others say it's worth the cost.  I'm here
at the Fourth Street station where I'll ask a
few passersby how they feel about t his latest
development in the project. ","What does the speaker say has recently been
announced?
(A) An increase in funding
(B) A factory opening
(C) A new venue for an event
(D) A change in regulations ",An increase in funding,A factory opening,A new venue for an event,A change in regulations ,D
,,"According to the speaker, why do some people
dislike a construction project?
(A) Because it caused a power outage
(B) Because it costs too much
(C) Because roads have been closed
(D) Because of the loud noise ",Because it caused a power outage,Because it costs too much,Because roads have been closed,Because of the loud noise ,B
,,"What will the speaker do next?
(A) Introduce an advertiser
(B) Attend a press conference
(C) Interview some people
(D) End a broadcast ",Introduce an advertiser,Attend a press conference,Interview some people,End a broadcast ,C
T1_18.mp3,"First of all, we know you have a busy
schedule outside of work, so thanks for coming in
to the warehouse today to work on a Saturday. OK,
so we're here because this extra shipment was
delivered yesterday. There are hundreds of boxes,
and w e have to check what 's inside them and put
the information into our warehouse database.
Now, I'm going to assign you all to groups. Once
you have your group number, go ahead and join
your group mem bers. Group leaders will tell you
which boxes you'll be working on.
","What does the speaker thank the listeners for?
(A) Reorganizing some files
(B) Cleaning a work area
(C) Working on a Saturday
(D) Attending a training",Reorganizing some files,Cleaning a work area,Working on a Saturday,Attending a training,C
,,"In which division do the listeners most likely work?
(A) Shipping and Receiving
(B) Maintenance
(C) Sales and Marketing
(D) Accounting ",Shipping and Receiving,Maintenance,Sales and Marketing,Accounting ,A
,,"What does the speaker say he will provide?
(A) A building name
(B) Group numbers
(C) Shift schedules
(D) A temporary password ",A building name,Group numbers,Shift schedules,A temporary password ,B
T2_1.mp3,"Hi, Ms. Larson. Thanks for agreeing to 
review the budget report that I prepared. I 
wanted to make sure that I did .it correctly 
since it's my first time. 
Yes, Jason, it looked very good overall. 
The only thing I'll need you to do is to add 
more details to the expenditures list. We 
like to have every office supply itemized. · 
Oh, OK, sure. I'll work on getting those 
details this afternoon. It would be helpful to 
see how it was done in the past. Is there 
an example of a report that I can look at? 
You should talk to Emiko-she can give 
you a copy of last month's report. ","What is the main topic of the conversation? 
(A) A new supervisor 
(B) A budget report 
(C) An office floor plan 
(D) A project deadline",A new supervisor,A budget report,An office floor plan,A project deadline,B
,,"What does the man request? 
(A) Additional office supplies 
(B) Extra team members 
(C) A different office 
(D) A sample document ",Additional office supplies,Extra team members,A different office,A sample document ,D
,,"What does the woman suggest the man do? 
(A) Speak with a colleague 
·(B) Organize some files 
(C) Revise a manual 
(D) E-mail a memo ",#N/A,Organize some files,Revise a manual,E-mail a memo ,A
T2_2.mp3,"Ms. Batra, how does the stage look to 
you? Is the piano in the right place? 
The stage arrangement is fine. But can 
we make sure that there'll be enough 
background lighting? I want all the 
members of my band to be visible. 
M-Au Of course. But I'd rather do it when the 
rest of your band is here so I can be sure 
the lighting is right. 
OK. I'm meeting them for lunch and 
then we're coming back here to rehearse 
together this afternoon. We'll see you then.","Who most likely is the woman? 
(A) A journalist 
(B) A musician 
(C) A theater director 
(D) A costume designer",A journalist,A musician,A theater director,A costume designer,B
,,"What does the woman ask about? 
(A) A performance date 
(B) A guest list 
(C) Some seating assignments 
(D) Some lighting ",A performance date,A guest list,Some seating assignments,Some lighting ,D
,,"What does the man say he would prefer to do? 
(A) Complete a task at a later time 
(B) Ask for a meal to be delivered 
(C) Speak with a manager 
(D) Conduct some background research ",Complete a task at a later time,Ask for a meal to be delivered,Speak with a manager,Conduct some background research ,A
T2_3.mp3,"Hi, Bob, I received your e-mail about the 
software training at two P.M. this Friday. 
But I have to meet with the marketing 
director of J. Alderman and Sons at that 
time. 
Oh, I'm sorry; I completely forgot that you 
had a client meeting. How long do you 
think it'll take? 
Probably thirty to forty-five minutes. I have 
to review a contract with him. Is there 
any way that you could start the training 
later in the day? 
Unfortunately, the rest of the team isn't 
free after three P.M., but if it's OK with 
you, I can just e-mail you the training 
documents to look over on your own. 
Contact me next week if you have any 
questions.","What is the problem? 
(A) There is a scheduling conflict. 
(B) There are no projectors available. 
(C) A contract is incorrect. 
(D) A deadline has been missed. ",There is a scheduling conflict.,There are no projectors available.,A contract is incorrect.,A deadline has been missed. ,A
,,"What does the woman inquire about? 
(A) Comparing competitors' prices 
(B) Purchasing new software 
(C) Postponing a training session 
(D) Arranging a teleconference ",Comparing competitors' prices,Purchasing new software,Postponing a training session,Arranging a teleconference ,C
,,"What does the man say he will do? 
(A) Send some materials 
(B) Find some supplies 
(C) Speak with a supervisor 
(D) Contact a client ",Send some materials,Find some supplies,Speak with a supervisor,Contact a client ,A
T2_4.mp3,"OK, Mr. Patel. Did the doctor want you to 
make another appointment? 
Yes, but I'll have to check my work 
calendar. 
You can now make appointments on our 
Web site if you have an account. Just log 
on and view available times online. 
Great. How do I sign up for an account? 
Colin handles all registrations. Colin, can 
you help Mr. Patel set up a patient account 
on our Web site? 
Certainly. If you have a smart phone, 
we can do it now. Or I can give you a 
handout with instructions to set up your 
account later. 
I'll set it up later. 
OK. Here's the handout. Please call with 
any questions. ","Where most likely are the speakers? 
(A) At a medical office 
(B) At a bank 
(C) At an electronics store 
(D) At a library ",At a medical office,At a bank,At an electronics store,At a library ,A
,,"According to the woman, why should Mr. Patel 
open an account? 
(A) To view a presentation 
(B) To make an appointment 
(C) To receive a free gift 
(D) To leave some feedback ",To view a presentation,To make an appointment,To receive a free gift,To leave some feedback ,B
,,"What does Colin give to Mr. Patel? 
(A) An application 
(B) A receipt 
(C) A registration card 
(D) A set of instructions ",An application,A receipt,A registration card,A set of instructions ,D
T2_5.mp3,"Mina, I was thinking about our travel 
plans for the industry conference we're 
going to in Boston. It's only two weeks 
away. 
Well, the three of us are all taking the same 
flight, so maybe we could ride together 
from the office to the airport. But, 
we'll be gone for several days, so the cost 
of parking would really add up. 
True. You know, I think it's twenty dollars 
to take a taxi. 
That's a possibility. Let's ask Martin what 
he thinks. ","What does the man say will take place in two 
weeks? 
(A) An awards ceremony 
(B) A staff retreat 
(C) A grand opening celebration 
(D) A professional conference",An awards ceremony,A staff retreat,A grand opening celebration,A professional conference,D
,,"What does the woman say she is concerned about? 
(A) An inconvenient location 
(B) A missed deadline 
(C) A parking fee 
(D) A canceled flight",An inconvenient location,A missed deadline,A parking fee,A canceled flight,C
,,"Why does the man say, ""it's twenty dollars to take 
a taxi""? 
(A) To make a suggestion 
(B) To express surprise 
(C) To complain about a price 
(D) To correct a mistake ",To make a suggestion,To express surprise,To complain about a price,To correct a mistake ,A
T2_6.mp3,"Sam, Mr. Kim just called about his order. 
He wants us to double the number of 
uniforms we're making for his hotel staff. 
That's great news! Has the deadline 
changed also? 
Actually, he still wants the order to be 
finished by the first of May. 
Hmm ... That's a problem. There's no 
way we can make so many uniforms that 
quickly. 
How about we hire some part-time 
tailors to help with this extra work? 
Good idea. Can you get a list of names 
for me? ","Where do the speakers most likely work? 
(A) At a local hotel 
(B) At an employment agency 
(C) At a clothing manufacturer 
(D) At a laundry service",At a local hotel,At an employment agency,At a clothing manufacturer,At a laundry service,C
,,"What problem does the man mention? 
(A) A machine is broken. 
(B) A deadline is not realistic. 
(C) An item is poorly made. 
(D) A supplier went out of business. ",A machine is broken.,A deadline is not realistic.,An item is poorly made.,A supplier went out of business. ,B
,,"How will the speakers solve the problem? 
(A) By hiring additional staff 
(B) By purchasing more material 
(C) By updating some machinery 
(D) By negotiating with a business ",By hiring additional staff,By purchasing more material,By updating some machinery,By negotiating with a business ,A
T2_7.mp3,"Hello, Ma'am. Thanks for shopping at 
Fresh made Supermarket. Do you have one 
of our loyalty cards? 
Yes, but I forgot to bring it today. 
Unfortunately, I can't look up your phone 
number because our computer system 
isn't working, so I can't give you a discount 
today. 
OK. I understand. Oh, and I took this 
bottle of soy sauce from the shelf, but I 
don't want to buy it now. 
That's fine, I know where it belongs. Now, 
will you be paying with cash or credit? ","What has the woman forgotten to bring? 
(A) A receipt for an item 
(B) A loyalty card 
(C) Some coupons 
(D) Some shopping bags ",A receipt for an item,A loyalty card,Some coupons,Some shopping bags ,B
,,"What problem does the man mention? 
(A) A manager is not available. 
(B) A product is out of stock. 
(C) A computer system is not working. 
(D) An advertised price is incorrect. ",A manager is not available.,A product is out of stock.,A computer system is not working.,An advertised price is incorrect. ,C
,,"What does the man imply when he says, ""I know 
where it belongs""? 
(A) He can tell the woman where to find an item. 
(B) He will return an item to the correct location. 
(C) A supervisor is not available. 
(D) An item has been put on the wrong shelf. ",He can tell the woman where to find an item.,He will return an item to the correct location.,A supervisor is not available.,An item has been put on the wrong shelf. ,B
T2_8.mp3,"Hello, Mr. Tanaka. Welcome to Bike 
Solutions Consulting. When I heard 
that a representative from the Burrville 
City Council wanted to meet, I was very 
excited. 
Well, we know your company helps 
cities set up their bike-share programs, 
and Burrville wants to set one up, too. 
That's great news! What are your goals 
for your program? 
We want to encourage our residents to 
exercise as well as to reduce car traffic. 
But it's going to be a challenge convincing 
people to participate.
We'll handle that. When cities partner 
with us, part of the service we provide is 
an advertising campaign. We'll produce 
television and radio commercials that will 
encourage community members to use the 
bikes. ","Who most likely is the man? 
(A) A professional athlete 
(B) A store manager 
(C) A city official 
(D) A television producer ",A professional athlete,A store manager,A city official,A television producer ,.C
,,"What are the speakers discussing? 
(A) A health and fitness show 
(B) A workplace volunteer event 
(C) A road-repair initiative 
(D) A bicycle-sharing program ",A health and fitness show,A workplace volunteer event,A road-repair initiative,A bicycle-sharing program ,D
,,"What does the woman say is part of the service her 
company provides? 
(A) Well ness screening 
(B) Local advertising 
(C) Product samples 
(D) Event tickets ",Well ness screening,Local advertising,Product samples,Event tickets ,B
T2_9.mp3,"Thanks for stopping by, Vincent and 
Sanjay. The board of directors decided 
to purchase new security cameras, so 
someone from Menovar Technologies is 
coming tomorrow to deliver and install 
them.
It'll be good to have the latest equipment. 
I agree. So Vincent, I'll need some of your 
Maintenance Department staff to help with 
the installation. 
No problem. I'll send two people over to 
assist. 
Thanks. 
Will there be a training session for my 
security personnel to use the new camera 
system? 
Yes, Sanjay-Menovar Technologies 
suggested next Monday for the training. Is 
that OK for your team? 
Sure. How about ten o'clock? 
I'll e-mail Menovar right away to see if 
that works for them.  ","What is the woman announcing? 
(A) A design has been approved. 
(B) Some employees will be promoted. 
(C) Some equipment will be installed. 
(D) A security inspection will take place soon. ",A design has been approved.,Some employees will be promoted.,Some equipment will be installed.,A security inspection will take place soon. ,C
,,"What is being arranged for next week? 
(A) A board meeting 
(B) A training session 
(C) A company luncheon 
(D) A job interview ",A board meeting,A training session,A company luncheon,A job interview ,B
,,"What does the woman say she will do? 
(A) Confirm a time 
(B) Test some software 
(C) Visit a facility 
(D) Review a proposal ",Confirm a time,Test some software,Visit a facility,Review a proposal ,A
T2_10.mp3,"Thank you for agreeing to meet me 
for this interview. The readers of 
Auto World Magazine are eager to hear 
about your company's plans for a new car 
manufacturing plant. 
Yes, we'll be opening a facility in 
Indonesia soon. We currently have two 
plants in this country, so we're looking 
forward to expanding our production 
capabilities overseas. 
I see. And when will the first cars be built 
in that factory? 
That's a good question. Right now we're 
planning on December. ","Who most likely is the woman? 
(A) A journalist 
(B) A mechanic 
(C) An engineer 
(D) A plant supervisor ",A journalist,A mechanic,An engineer,A plant supervisor ,A
,,"What is the main topic of the conversation? 
(A) New car designs 
(B) The opening of a factory 
(C) An increase in costs 
(D) Safety ratings ",New car designs,The opening of a factory,An increase in costs,Safety ratings ,B
,,"According to the man, what will happen in 
December? 
(A) Discounted trips will be available. 
(B) An advertising campaign will start. 
(C) An article will be published. 
(D) Production will begin at a facility. ",Discounted trips will be available.,An advertising campaign will start.,An article will be published.,Production will begin at a facility. ,D
T2_11.mp3,"Attention, shoppers! Today is the first day 
of our spring sales event. This is being held on the 
first floor. AII art supplies are now on sale, starting 
from as little as one dollar. We've got great deals on 
brushes, canvases, paint, and more! Also, from now 
until August thirtieth, we're accepting submissions 
for our summer art contest! This is a wonderful 
opportunity for aspiring artists to get their work 
shown. Please visit the information desk for details. 
Thank you for shopping at Baxter's Art Supply Store. ","Where is the announcement being made? 
(A) At an art supply store 
(B) At a public library 
(C) At a school 
(D) At a hardware store ",At an art supply store,At a public library,At a school,At a hardware store ,A
,,"What can listeners find on the first floor? 
(A) A product demonstration 
(B) A discussion-group meeting 
(C) Refreshments 
(D) Items on sale ",A product demonstration,A discussion-group meeting,Refreshments,Items on sale ,D
,,"What are listeners encouraged to do by August 30? 
(A) Activate a rewards card 
(B) Enter a contest 
(C) Register for a class 
(D) Fill out surveys ",Activate a rewards card,Enter a contest,Register for a class,Fill out surveys ,B
